Provplats;Stat Id;Län;Art;Organ;Original Id;Provdatum;;Ålder (år);Längd (cm);Vikt (g);Torrvikt %;Extrlip (fetthalt) %;PCB-28 mg/kg lw;*;PCB-52 mg/kg lw;*;PCB-101 mg/kg lw;*;PCB-118 mg/kg lw;*;PCB-138 mg/kg lw;*;PCB-153 mg/kg lw;*;PCB-180 mg/kg lw;*;Summa PCB (kapillär kolonn) mg/kg lw;*;Summa PCB (packad kolonn) mg/kg lw;*;PCB-31 mg/kg lw;*;PCB-77 mg/kg lw;*;PCB-105 mg/kg lw;*;PCB-110 mg/kg lw;*;PCB-126 mg/kg lw;*;PCB-149 mg/kg lw;*;PCB-156 mg/kg lw;*;PCB-157 mg/kg lw;*;PCB-158 mg/kg lw;*;PCB-167 mg/kg lw;*;PCB-169 mg/kg lw;*
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P2000/01796;26/09/00;;3;16;22;18.8;1.56;<0.005;b;<0.005;b;0.019;;0.02;;0.042;;0.056;;0.02;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P2000/01794;26/09/00;;3;15;20;21.7;2.83;<0.004;b;<0.004;b;0.017;;0.016;;0.031;;0.042;;0.014;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P2000/01808;26/09/00;;4;;;;;;;;;;;;;;;;;;;;;;;;;0.0001;;;;;;0.0001;;;;;;0.0007;;;;;;;
Harufjärden;3723;Norrbottens län;Sill/strömming;Muskel;P2000/01798;26/09/00;;3;16;26;20.9;2.44;<0.005;b;<0.005;b;0.017;;0.017;;0.033;;0.046;;0.016;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05446;11/10/00;;4;17;32;23.2;3.06;0.004;;0.008;;0.026;;0.021;;0.04;;0.057;;0.015;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05437;11/10/00;;3;17;31;21.5;2;<0.004;b;0.007;;0.024;;0.017;;0.043;;0.06;;0.014;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05449;11/10/00;;4;19;43;;;;;;;;;;;;;;;;;;;;;;;0.0003;;;;;;0.0001;;;;;;0.0011;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05453;11/10/00;;4;18;41;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0.0001;;;;;;0.0007;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05456;11/10/00;;4;18;40;;;;;;;;;;;;;;;;;;;;;;;0.0004;;;;;;0.0001;;;;;;0.0007;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05438;11/10/00;;3;18;39;25.2;4.85;0.004;;0.007;;0.02;;0.014;;0.029;;0.041;;0.01;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05452;11/10/00;;4;19;43;;;;;;;;;;;;;;;;;;;;;;;0.0003;;;;;;0.0001;;;;;;0.0009;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05448;11/10/00;;4;17;29;22.3;2.83;0.004;;;;0.028;;0.023;;0.041;;0.059;;0.013;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05440;11/10/00;;3;18;37;22.1;3.03;0.004;;0.009;;0.023;;0.018;;0.031;;0.042;;0.011;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05442;11/10/00;;3;17;29;19.9;1.19;<0.003;b;0.008;;0.034;;0.028;;0.064;;0.091;;0.023;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05454;11/10/00;;4;18;37;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0.0001;;;;;;0.0008;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05445;11/10/00;;4;17;32;22.6;4.03;0.005;;0.008;;0.023;;0.02;;0.032;;0.04;;0.011;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05444;11/10/00;;4;17;33;22.4;2.68;<0.004;b;0.007;;0.024;;0.021;;0.037;;0.05;;0.012;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05439;11/10/00;;3;19;41;24;4.79;<0.004;b;0.008;;0.023;;0.017;;0.033;;0.047;;0.011;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05443;11/10/00;;3;16;27;22.8;2.96;<0.004;b;0.006;;0.02;;0.012;;0.031;;0.043;;0.01;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05447;11/10/00;;4;17;34;21.8;2.28;0.004;;0.01;;0.03;;0.024;;0.047;;0.066;;0.016;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05455;11/10/00;;4;18;38;;;;;;;;;;;;;;;;;;;;;;;0.0005;;;;;;0.0001;;;;;;0.0014;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05450;11/10/00;;4;18;39;;;;;;;;;;;;;;;;;;;;;;;0.0003;;;;;;0.0001;;;;;;0.0008;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05451;11/10/00;;4;19;43;;;;;;;;;;;;;;;;;;;;;;;0.0006;;;;;;0.0003;;;;;;0.0012;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2000/05441;11/10/00;;3;18;37;19.1;0.79;0.015;;0.049;;0.17;;0.13;;0.26;;0.39;;0.088;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06184;08/12/00;;2;19;49;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0.0001;;;;;;0.0007;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06177;08/12/00;;2;19;48;26;3.02;0.004;;0.009;;0.029;;0.025;;0.058;;0.077;;0.012;;0.21;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06183;08/12/00;;2;20;53;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0.0001;;;;;;0.0005;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06169;08/12/00;;2;19;41;24.5;3.08;<0.004;b;0.008;;0.022;;0.02;;0.046;;0.058;;0.009;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06179;08/12/00;;2;19;51;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0.0001;;;;;;0.0006;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06168;08/12/00;;2;19;43;23.9;2.43;0.003;;0.009;;0.025;;0.022;;0.053;;0.065;;0.009;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06166;08/12/00;;2;19;44;26.5;3.5;<0.004;b;0.007;;0.017;;0.015;;0.031;;0.038;;<0.005;b;0.11;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06181;08/12/00;;2;19;56;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0;;;;;;0.0005;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06167;08/12/00;;2;19;41;25.5;3.04;0.005;;0.012;;0.034;;0.026;;0.061;;0.081;;0.011;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06174;08/12/00;;2;19;46;26.5;3.65;<0.004;b;0.008;;0.018;;0.016;;0.037;;0.046;;0.005;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06178;08/12/00;;2;19;60;;;;;;;;;;;;;;;;;;;;;;;0.0003;;;;;;0;;;;;;0.0004;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06185;08/12/00;;2;19;48;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0.0001;;;;;;0.0006;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06173;08/12/00;;2;18;39;25.5;2.59;0.004;;0.01;;0.029;;0.025;;0.056;;0.075;;0.01;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06171;08/12/00;;2;18;46;24.3;3.53;<0.004;b;0.008;;0.019;;0.017;;0.037;;0.047;;0.006;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06176;08/12/00;;2;19;45;24.8;2.78;<0.004;b;0.009;;0.031;;0.027;;0.063;;0.086;;0.014;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06180;08/12/00;;2;20;53;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0;;;;;;0.0011;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06175;08/12/00;;2;19;49;28.8;3.79;<0.004;b;0.007;;0.018;;0.017;;0.04;;0.047;;0.007;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06182;08/12/00;;2;20;55;;;;;;;;;;;;;;;;;;;;;;;0.0002;;;;;;0.0001;;;;;;0.0005;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06170;08/12/00;;2;19;46;25;3.3;<0.003;b;0.006;;0.016;;0.015;;0.034;;0.043;;0.007;;0.12;;;;;;;;;;;;;;;;;;;;;;;;;
Fladen;3721;Hallands län;Sill/strömming;Muskel;P2000/06172;08/12/00;;2;19;48;24.3;3.66;0.004;;0.009;;0.027;;0.023;;0.051;;0.067;;0.009;;0.19;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04818;19/12/00;;5;18;36;22.2;3.09;0.005;;0.012;;0.047;;0.045;;0.1;;0.15;;0.035;;0.39;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04814;19/12/00;;4;19;36;20.4;2.13;0.004;;0.009;;0.053;;0.068;;0.15;;0.22;;0.052;;0.55;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04815;19/12/00;;4;18;37;24;5.83;0.006;;0.014;;0.033;;0.037;;0.076;;0.1;;0.028;;0.29;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04817;19/12/00;;5;18;39;23.4;3.82;0.005;;0.013;;0.038;;0.034;;0.057;;0.073;;0.016;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04811;19/12/00;;4;18;40;21.1;2.21;<0.003;b;0.004;;0.021;;0.026;;0.055;;0.09;;0.024;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04813;19/12/00;;4;17;34;22.2;3.07;0.006;;0.016;;0.053;;0.046;;0.084;;0.11;;0.023;;0.34;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04812;19/12/00;;4;18;36;22.3;3.36;<0.005;b;0.005;;0.051;;0.056;;0.11;;0.16;;0.039;;0.42;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04809;19/12/00;;3;18;33;25;5.35;0.079;;0.18;;0.38;;0.24;;0.35;;0.43;;0.11;;1.7;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04810;19/12/00;;4;17;27;19.8;2.67;<0.004;b;0.008;;0.037;;0.043;;0.093;;0.14;;0.034;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04808;19/12/00;;3;16;25;18.9;1.07;0.006;;0.022;;0.098;;0.084;;0.17;;0.23;;0.063;;0.66;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04816;19/12/00;;5;17;32;20.4;1.96;0.004;;0.007;;0.024;;0.034;;0.085;;0.17;;0.051;;0.37;;;;;;;;;;;;;;;;;;;;;;;;;
Landsort;6725;Stockholms län;Sill/strömming;Muskel;P2000/04807;19/12/00;;3;17;34;22.8;3.53;<0.004;b;0.008;;0.024;;0.019;;0.039;;0.053;;0.014;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05849;19/12/00;;3;26;138;30.2;10.15;<0.004;b;0.004;;0.01;;0.01;;0.021;;0.024;;<0.004;b;0.069;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05864;19/12/00;;3;25;111;29.3;6.16;<0.003;b;0.005;;0.021;;0.023;;0.054;;0.059;;0.009;;0.17;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05856;19/12/00;;3;24;110;27.1;7.16;0.005;;0.01;;0.02;;0.018;;0.034;;0.038;;0.007;;0.13;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05858;19/12/00;;3;24;118;43.5;9.99;0.003;;0.005;;0.014;;0.014;;0.029;;0.03;;0.004;;0.097;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05852;19/12/00;;3;24;109;28.8;7.62;<0.003;b;0.005;;0.008;;0.008;;0.014;;0.016;;<0.004;b;0.05;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05850;19/12/00;;3;23;108;29.4;7.83;<0.003;b;0.004;;0.007;;0.008;;0.016;;0.015;;<0.004;b;0.049;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05862;19/12/00;;3;22;85;25.3;5.18;;;0.007;;0.021;;0.021;;0.045;;0.049;;0.008;;0.15;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05853;19/12/00;;3;25;122;31;8.28;<0.003;b;0.005;;0.01;;0.009;;0.018;;0.019;;<0.004;b;0.062;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05861;19/12/00;;3;25;114;28.7;8.88;<0.003;b;0.009;;0.026;;0.026;;0.057;;0.063;;;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05863;19/12/00;;3;25;129;32.7;10.5;<0.003;b;0.005;;0.009;;0.009;;0.017;;0.018;;<0.004;b;0.057;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05848;19/12/00;;3;25;108;28;7.47;<0.004;b;0.006;;0.014;;0.014;;0.028;;0.03;;0.005;;0.096;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05865;19/12/00;;3;25;131;33.5;9.87;<0.004;b;0.009;;0.015;;0.014;;0.025;;0.027;;<0.005;b;0.089;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05860;19/12/00;;3;23;97;25.6;5.95;<0.004;b;0.007;;0.021;;0.021;;0.047;;0.053;;0.009;;0.16;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05851;19/12/00;;3;24;102;26.7;4.61;<0.004;b;0.006;;0.013;;0.013;;0.025;;0.025;;<0.004;b;0.082;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05846;19/12/00;;3;25;112;32.2;9.59;<0.004;b;0.005;;0.01;;0.01;;0.019;;0.02;;<0.004;b;0.063;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05854;19/12/00;;3;23;88;26.9;4.98;0.004;;0.008;;0.021;;0.019;;0.041;;0.045;;0.007;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05857;19/12/00;;3;24;115;28.7;8.27;<0.004;b;0.006;;0.01;;0.009;;0.017;;0.018;;<0.004;b;0.061;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05855;19/12/00;;3;24;112;27.3;7.19;<0.003;b;0.005;;0.009;;0.01;;0.021;;0.022;;<0.004;b;0.066;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05859;19/12/00;;3;26;138;29.2;10.61;0.002;;0.005;;0.011;;0.01;;0.021;;0.022;;<0.005;b;0.069;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2000/05847;19/12/00;;3;25;111;31.7;10.61;<0.003;b;0.005;;0.012;;0.011;;0.023;;0.023;;<0.004;b;0.074;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01044;2021-05-01;;3;17;36;21.5;2.03;0.006;;0.012;;0.036;;0.03;;0.055;;0.075;;0.02;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01047;2021-05-01;;4;17;46;21.2;2.35;0.007;;0.017;;0.069;;0.059;;0.13;;0.2;;0.053;;0.53;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01049;2021-05-01;;4;17;38;21.7;2.85;0.005;;0.012;;0.037;;0.032;;0.056;;0.079;;0.019;;0.23;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01045;2021-05-01;;3;17;35;20.5;2.21;0.006;;0.013;;0.033;;0.029;;0.047;;0.063;;0.017;;0.2;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01042;2021-05-01;;3;17;37;21.5;1.91;0.004;;0.009;;0.03;;0.024;;0.057;;0.082;;0.02;;0.22;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01050;2021-05-01;;4;18;35;20;1.43;0.003;;0.009;;0.04;;0.028;;0.07;;0.1;;0.024;;0.27;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01041;2021-05-01;;3;17;37;20.7;1.47;0.005;;0.012;;0.037;;0.031;;0.068;;0.093;;0.024;;0.26;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01043;2021-05-01;;3;17;39;20.6;2.75;0.006;;0.013;;0.035;;0.027;;0.063;;0.09;;0.023;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01046;2021-05-01;;3;16;33;20.1;2.67;0.005;;0.009;;0.022;;0.019;;0.032;;0.043;;0.011;;0.14;;;;;;;;;;;;;;;;;;;;;;;;;
Utlängan;3720;Blekinge län;Sill/strömming;Muskel;P2001/01048;2021-05-01;;4;19;51;24;5.2;0.007;;0.015;;0.049;;0.033;;0.067;;0.094;;0.02;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05499;2018-06-01;;4;18;34;23.3;4.47;0.004;;0.014;;0.056;;0.064;;0.15;;0.21;;0.074;;0.57;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05494;2018-06-01;;4;17;29;20.8;1.79;0.009;;0.024;;0.067;;0.061;;0.099;;0.13;;0.034;;0.41;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05493;2018-06-01;;4;17;30;21;3.16;0.005;;0.012;;0.039;;0.034;;0.079;;0.11;;0.045;;0.32;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05496;2018-06-01;;4;18;34;21.8;4;0.006;;0.015;;0.041;;0.037;;0.075;;0.097;;0.04;;0.31;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05491;2018-06-01;;4;16;27;21.4;2.81;0.005;;0.013;;0.041;;0.043;;0.088;;0.12;;0.042;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05490;2018-06-01;;4;16;25;17.9;2.18;0.005;;0.017;;0.061;;0.046;;0.12;;0.16;;0.057;;0.45;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05492;2018-06-01;;4;15;23;19.5;1.9;0.008;;0.019;;0.051;;0.045;;0.084;;0.11;;0.036;;0.35;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05497;2018-06-01;;4;17;30;19.8;2.83;0.004;;0.012;;0.034;;0.032;;0.059;;0.08;;0.028;;0.25;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05498;2018-06-01;;4;17;32;22.7;3.99;0.006;;0.021;;0.087;;0.083;;0.21;;0.3;;0.12;;0.81;;;;;;;;;;;;;;;;;;;;;;;;;
Ängskärsklubb;3731;Uppsala län;Sill/strömming;Muskel;P2001/05495;2018-06-01;;4;17;31;23.1;5.15;0.004;;0.009;;0.024;;0.02;;0.045;;0.059;;0.023;;0.18;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04590;2006-09-01;;2;21;63;27.3;6.22;<0.003;b;;;0.008;;0.007;;0.013;;0.017;;<0.004;b;0.045;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04589;2006-09-01;;2;20;54;26.1;4.67;<0.004;b;;;0.009;;0.008;;0.016;;0.021;;<0.005;b;0.054;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04573;2006-09-01;;2;21;75;30.6;7.94;<0.003;b;;;0.006;;0.005;;0.01;;0.014;;<0.004;b;0.035;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04586;2006-09-01;;2;19;53;25.9;5.34;<0.006;b;;;0.011;;0.011;;0.018;;0.026;;<0.005;b;0.065;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04576;2006-09-01;;2;20;55;28.1;5.12;<0.004;b;;;0.007;;0.006;;0.012;;0.015;;<0.004;b;0.04;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04592;2006-09-01;;2;20;59;26.3;4.41;;;;;0.009;;0.009;;0.017;;0.023;;<0.005;b;0.058;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04584;2006-09-01;;2;20;66;29.1;8.24;<0.004;b;;;0.005;;0.005;;0.009;;0.012;;<0.005;b;0.03;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04578;2006-09-01;;2;20;60;27.5;6.27;<0.004;b;;;0.007;;0.007;;0.014;;0.019;;<0.004;b;0.048;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04585;2006-09-01;;2;22;74;28.1;8.28;<0.003;b;;;0.008;;0.007;;0.012;;0.016;;<0.004;b;0.042;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04581;2006-09-01;;2;23;80;26;5.38;<0.004;b;;;0.011;;0.009;;0.017;;0.023;;<0.005;b;0.061;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04582;2006-09-01;;2;21;67;28.8;10.16;<0.003;b;<0.089;b;0.006;;0.005;;0.01;;0.012;;<0.004;b;0.032;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04591;2006-09-01;;2;20;63;26.3;5.96;<0.004;b;;;0.007;;0.006;;0.011;;0.015;;<0.004;b;0.038;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04575;2006-09-01;;2;21;64;26.1;4.25;<0.004;b;;;0.011;;0.01;;0.021;;0.03;;<0.005;b;0.071;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04579;2006-09-01;;2;21;65;26.3;4.79;<0.006;b;;;<0.007;b;0.007;;0.012;;0.017;;<0.008;b;0.036;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04588;2006-09-01;;2;21;61;25.2;3.85;<0.004;b;;;0.011;;0.011;;0.024;;0.032;;0.005;;0.083;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04587;2006-09-01;;2;21;69;28.7;7.87;<0.004;b;;;0.006;;0.005;;0.01;;0.012;;<0.005;b;0.031;;;;;;;;;;;;;;;;;;;;;;;;;
Väderöarna;3739;Västra Götalands län;Sill/strömming;Muskel;P2001/04577;2006-09-01;;2;21;67;29;6.27;<0.003;b;;;0.006;;0.006;;0.011;;0.014;;<0.004;b;0.037;;;;;;;;;;;;;;;;;;;;;;;;;
