latin_name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon;common_name
Eriocheir sinensis;;;;;;X;X;X;X;;;;X;X;X;X;X;;;X;X;;;;X;;X;X;X;X;;X;
Eriopisa elongata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erotesis baltica;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
Erpobdella monostriata;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Erpobdella nigricollis;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X;
Erpobdella octoculata;;;;;;;;;;;;;;X;;X;X;;X;X;;;;;X;;X;X;X;;X;X;
Erpobdella testacea;;;;;;;;;;;;;;;;;X;;;X;;;;;;;;X;;;;X;
Erythromma najas;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;X;;;;X;
Erythrops elegans;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erythrops erythrophthalma;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Erythrops serrata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escharella immersa;X;X;;;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Escharella laqueata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escharella ventricosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Escharina vulgaris;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eteone barbata;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;
Eteone flava;X;X;X;;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Eteone foliosa;;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eteone lactea ;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eteone longa;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;;X;;;;X;X;;
Eteone pusilla;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Eualus cranchii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eualus gaimardii;;;;;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Eualus occultus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eualus pusiolus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eubranchus exiguus;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eubranchus pallidus;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eubranchus tricolor;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eubrychius velutus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
Euchone analis;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euchone papillosa;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Euchone rubrocincta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euclymene affinis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eucratea loricata;X;;;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;;;;;;;;;
Eudendrium rameum;X;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Eudorella emarginata;X;X;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Eudorella truncatula;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eudorellopsis deformis;;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Eugyra arenosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eulalia bilineata;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;;
Eulalia viridis;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;;;;;;;;
Eulima bilineata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eumetula arctica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eumida arctica;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eumida bahusiensis;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eumida ockelmanni;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eumida punctifera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eumida sanguinea;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Eunereis longissima;X;;X;;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Eunoe nodosa;X;X;X;X;;;X;;;;;;;;;;;;;;;;X;;;;;;;;;;
Eupolymnia nebulosa;X;;;;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Eupolymnia nesidensis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eurycope mutica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eurydice pulchra;;;;;X;X;;X;X;;X;;;;;;X;;;;X;;X;;X;;;;X;;;X;
Eurynome aspera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eurynome spinosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eurystheus melanops;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euspira catena;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euspira montagui;X;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euspira pallida;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euspira pulchella;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Euzonus flabelligerus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exogone (Exogone) dispar;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exogone (Exogone) naidina;X;;X;X;X;X;;;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Exogone (Exogone) verugera;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Exogone (Parexogone) hebes;X;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fabricia stellaris;X;X;X;X;X;X;X;X;X;X;X;X;X;;;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;;
Fabriciola baltica;;X;X;X;X;X;X;X;X;X;X;X;;;;;X;;;;X;X;;X;;X;;;X;;;;
Facelina bostoniensis;;;;X;X;X;X;;;;;;;;;;;;;;;X;X;X;X;;;;;;;;
Farrella repens;;;;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Favorinus branchialis;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;;;;;
Fenestrulina malusii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Filellum serpens;;;;;X;;;;;;;;;;;;;;;;X;;;X;;;;;;;;;
Filograna implexa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Flabelligera affinis;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Flabellina verrucosa;;;X;;X;X;;;;;;;;;;;;;;;;X;;;;X;;;;;;;
Flustra foliacea;X;X;;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Flustrellidra hispida;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fossaria truncatula;;;;;;;;;X;;;;;;;X;;;;;;;;;X;;;;;;;;
Fridericia bulbosa;;;;;;X;;;;;;;;;;;;X;;;;;;;;;;;;;;;
Funiculina quadrangularis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Galathea intermedia;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Galathea squamifera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Galathea strigosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Galathowenia oculata;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gammarellus angulosus;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gammarellus homari;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Gammaropsis cornuta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gammaropsis maculata;X;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gammaropsis melanops;X;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gammaropsis nitida;;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gammarus duebeni;;;;;;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;;;X;X;X;X;X;X;X;X;
Gammarus finmarchicus;;;X;;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Gammarus inaequicauda;;;;;X;;;;;;;;;;;;X;;;X;X;;;;;;;;X;X;;;
Gammarus insensibilis;X;;;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Gammarus lacustris;;;;;;;;;;;;;;;;;;;X;;;;;;;;X;;;;;X;
Gammarus locusta;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;;X;X;X;X;X;X;;X;X;;X;X;X;;
Gammarus oceanicus;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Gammarus pulex;;;;;;;;;;;;;;;;;X;;X;X;;;;;X;;X;X;;;;X;
Gammarus roeselii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;
Gammarus salinus;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;
Gammarus tigrinus;;;;;;X;X;X;X;;X;;;;;X;X;X;X;X;X;X;;;;;X;X;X;X;X;X;
Gammarus zaddachi;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Gari fervensis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gari tellinella;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Garveia franciscana;;;;;X;X;;;;;;;;;;;;;;X;;;;;;;;;;;;;
Gastrosaccus spinifer;X;X;X;X;X;X;X;X;;;;;;;;;X;;;X;X;;X;X;X;X;;;;;;;
Gattyana amondseni;X;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gattyana cirrhosa;X;X;X;;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;X;;;
Gerris argentatus;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X;
Gerris lacustris;;;;;;;;;;;;;;;;;;X;;;;;;;;;X;;;;;X;
Gerris odontogaster;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X;
Gerris thoracicus;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
Geryon trispinosus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gibbula cineraria;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gibbula tumida;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gitana sarsi;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glossiphonia complanata;;;;;;;;X;;;;;;;;X;X;;X;X;;;;;X;;X;X;;;;X;
Glossiphonia concolor;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;X;X;
Glossiphonia paludosa;;;;;;;X;;;;;;;X;X;;;;X;;;;;;;;;;;;;;
Glossiphonia verrucata;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Glycera alba;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;X;;;;;;;
Glycera capitata;X;X;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glycera gigantea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glycera lapidum;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glycera rouxi;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glycera tesselata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glycera unicornis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glycinde nordmanni;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glyphohesione klatti;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glyphotaelius pellucidus;;;;;;;;;;;;;X;;;X;X;;X;;;;;;;;;;;;;;
Glyptotendipes barbipes;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;X;;;
Glyptotendipes glaucus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;;
Glyptotendipes gripekoveni;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;X;;;;X;
Glyptotendipes pallens;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Glyptotendipes paripes;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X;
Gmelinoides fasciatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Gnathia oxyuraea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goera pilosa;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;;
Golfingia (Golfingia) margaritacea;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Golfingia (Golfingia) vulgaris vulgaris;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gomphus vulgatissimus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Gonactinia prolifera;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goniada maculata;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Goniada norvegica;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goniadella bobretzkii;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Goniodoris nodosa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gonothyraea loveni;;X;;;X;X;X;X;X;;X;X;X;;;;X;;X;X;X;X;X;X;X;X;;X;X;X;X;;
Gordius aquaticus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Gracilechinus acutus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gracilechinus elegans;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grammotaulius nigropunctatus;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;;
Grania ovitheca;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grania postclitellochaeta;X;;X;;;;;;;;;;;;;;;;;;;;;X;;X;;;;;;;
Grania variochaeta;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Grania vikinga;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graphis albida;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Guancha blanca;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gyptis helgolandica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gyptis rosea;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Gyraulus albus;;;;;;;;;;;;;;;;X;X;;;;;;;;X;;X;X;;;X;X;
Gyraulus riparius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Gyrinus distinctus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Gyrinus minutus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Gyrinus natator;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Haemopis elegans;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Haemopis sanguisuga;;;;;;;;;;;;;;;;;;;X;;;;;;X;;X;X;;;;X;
Halcampa chrysanthellum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halcampa duodecimcirrata;X;X;X;;X;X;X;X;;;;;;;;;;;;;;;X;X;;X;;;;;;;
Halcampoides abyssorum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halecium halecium;X;X;;;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
Halecium labrosum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halecium tenellum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halichondria (Halichondria) bowerbanki ;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halichondria (Halichondria) panicea;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Haliclona (Haliclona) oculata;;;;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
Haliclona (Haliclona) urceolus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haliclona (Reniera) cinerea;;X;X;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Halicreion aequicornis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Halicryptus spinulosus;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;;X;X;X;X;;X;;;;;;;
Haliplus confinis;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X;
Haliplus flavicollis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Haliplus immaculatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Halisarca dujardini;X;X;;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;;;;;;;;
Halitholus yoldiaarcticae;;X;;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;
Halocladius braunsi;;;;;;;X;;;;;;;;;;;;;;X;;;;;;;;;;X;;
Halocladius variabilis;;X;;X;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Halocladius varians;;X;X;;;;;;;;;;;;;;;;;;X;;;;;;;;;;X;;
Halocladius vitripennis;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;
Haminoea exigua;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;
Hanleya hanleyi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haploops tenuis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haploops tubicola;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hardametopa nasuta;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harmothoe antilopes;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harmothoe borealis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harmothoe extenuata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harmothoe fragilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harmothoe imbricata;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;X;X;;;;;;;
Harmothoe impar;X;X;X;X;X;X;X;X;;;;;;X;;;;;;;X;X;X;X;X;X;;;;;;;
Harmothoe longisetis;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harnischia curtilamellata;;;;;;;;;;;;;;X;X;;X;;;;;;;;;;;;;;;;
Harnischia fuscimana;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Harpinia antennaria;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harpinia crenulata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harpinia laevis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harpinia pectinata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harpinia serrata;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harpinia truncata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Harrimania kupfferi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hartlaubella gelatinosa;;;;X;X;X;X;X;X;;;;;;;;;;;X;X;X;;;;;;;X;X;;;
Hauchiella tribullata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Haustorius arenarius;X;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hebrus pusillus;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;
Hediste diversicolor;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;
Helobdella stagnalis;;;X;;;;;;;;;;;X;X;X;X;;X;X;;;;;X;;X;X;;;X;X;
Hemiclepsis marginata;;;;;;;;;;;;;;;;;X;;X;X;;;;;X;;X;X;;;X;X;
Hemilamprops assimilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hemilamprops cristata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hemilamprops roseus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hemilepton nitidum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hemimysis anomala;;;;;;;;X;;;X;;X;;;;X;X;;;;;;;;;X;X;;;;X;
Hemimysis lamornae;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Henricia perforata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Henricia sanguinolenta;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heptagenia sulphurea;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;
Heptatoma pellucens;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Hesperocorixa linnaei;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
Heteranomia squamula;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Heterochaeta costata;;X;X;X;X;X;X;X;X;;;;X;X;X;;X;X;X;X;X;X;;;X;;;X;X;X;X;X;
Heteromastus filiformis;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;X;X;X;X;;X;;;X;X;;;
Heteromysis norvegica;;;;;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
Heterotanais oerstedii;X;X;;X;X;X;X;X;X;;;;;;;;;X;;X;X;;X;;X;;X;X;X;X;X;;
Hiatella arctica;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;X;X;;;;;;;
Hippasteria phrygiana;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hippeutis complanatus;;;;;;;;;;;;;;;;;X;;X;;;;;;;;;X;;;;X;
Hippolyte varians;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hippomedon denticulatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hippothoa divaricata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hippothoa flagellum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Holocentropus picicornis;;;;;;;;;;;;;X;;;;X;;;;;;;;;;;;;;;;
Holocentropus stagnalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hormathia digitata;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hornera lichenoides;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hyala vitrea;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hyalinella punctata;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;;
Hyalinoecia tubicola;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hyas araneus;;;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hyas coarctatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hydra circumcincta;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Hydra fusca;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;
Hydra oligactis;;;;;;;;;;;;;;;;;;;;X;;;;;X;;;X;X;X;;;
Hydra oxycnida;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;
Hydra vulgaris;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;X;
Hydractinia borealis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hydractinia carnea;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;
Hydractinia echinata;X;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hydrallmania falcata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hydrobaenus pilipes;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydrobia acuta neglecta;X;X;X;X;;X;;;;;;;X;;;;;X;;;X;X;;;;;;;;;;;
Hydrobia ulvae;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;;
Hydrochara caraboides;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Hydroides norvegicus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Hydromermis contorta;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X;
Hydroporus erythrocephalus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydroporus incognitus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydroporus nigrita;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydroporus tristis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydroporus umbrosus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydropsyche contubernalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydroptila angulata;;;;;;;;;;;;X;X;X;X;X;X;;;;;;;;;;;;;;;;
Hydroptila pulchricornis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydroptila simulans;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hydroptila tineoides;;;;;;;;;;;;;;;;X;;;;;;;;;;;;X;;;;;
Hydroptila vectis;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;;
Hygrobia hermanni;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;
Hygrotus impressopunctatus;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hygrotus inaequalis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
Hyperia galba;X;;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;
Hypophorella expansa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Idmidronea atlantica;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Idotea balthica;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;;;X;X;X;;
Idotea chelipes;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;;
Idotea granulosa;X;;;X;X;X;X;X;X;X;X;X;;;;X;X;X;X;X;X;;X;X;X;X;;;X;X;;;
Idotea pelagica;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
