latin_name;assessment_unit;helcom_category;iucn_criteria;taxa_group
Astacilla intermedia;Species;LC;;invert
Galathea intermedia;Species;LC;;invert
Natica intermedia;Species;LC;;invert
Paramysis intermedia;Species;NA;;invert
Vejdovskyella intermedia;Species;LC;;invert
Vaucheria intermedia;Species;NE;;macrophytes
Cheirocratus intermedius;Species;LC;;invert
Paramphilochoides intermedius;Species;NE;;invert
Arenaria interpres;Breeding;VU;A2abce + 3ce + 4abce;breeding birds
Turbonilla interrupta;Species;NE;;invert
Seirospora interrupta;Species;LC;;macrophytes
Cricotopus intersectus;Species;NE;;invert
Chrysallida interstincta;Species;LC;;invert
Streblosoma intestinale;Species;NE;;invert
Ciona intestinalis;Species;LC;;invert
Ulva intestinalis;Species;LC;;macrophytes
Tribelos intextum;Species;LC;;invert
Erythrotrichia investiens;Species;NE;;macrophytes
Astropecten irregularis;Species;LC;;invert
Erythrocladia irregularis;Species;LC;;macrophytes
Feldmannia irregularis;Species;NA;;macrophytes
Echinogammarus ischnus;Species;NA;;invert
Amauropsis islandica;Species;NT;B2ab(ii,iii,iv);invert
Arctica islandica;Species;LC;;invert
Colus islandicus;Species;NE;;invert
Lamprodrilus isoporus;Species;NE;;invert
Heterosiphonia japonica;Species;NA;;macrophytes
Aulodrilus japonicus;Species;NE;;invert
Telmatogeton japonicus;Species;NE;;invert
Saxicavella jeffreysi;Species;LC;;invert
Turbonilla jeffreysi;Species;NE;;invert
Colus jeffreysianus;Species;LC;;invert
Lipobranchus jeffreysii;Species;NE;;invert
Paramphinome jeffreysii;Species;NE;;invert
Amphitrite johnstoni;Species;NE;;invert
Specaria josinae;Species;NE;;invert
Enteromorpha jugoslavica;Species;NE;;macrophytes
Coris julis;Species;NA;;fish
Aeshna juncea;Species;LC;;invert
Apherusa jurinei;Species;NE;;invert
Protodorvillea kefersteini;Species;NE;;invert
Nephtys kersivalensis;Species;NE;;invert
Oncorhynchus keta;Species;NA;;fish
Caulleriella killariensis;Species;LC;;invert
Enipo kinbergi;Species;LC;;invert
Oncorhynchus kisutch;Species;NA;;fish
Microstomus kitt;Species;LC;;fish
Feldmannia kjellmanii;Species;LC;;macrophytes
Sorapion kjellmanii;Species;LC;;macrophytes
Glyphohesione klatti;Species;NE;;invert
Crisia klugei;Species;NE;;invert
Lagis koreni;Species;LC;;invert
Tanypus kraatzi;Species;NE;;invert
Laonome kroeyeri;Species;LC;;invert
Spiophanes kroyeri;Species;NE;;invert
Harrimania kupfferi;Species;LC;;invert
Acrochaetium kylini;Species;NE;;macrophytes
Lysippe labiata;Species;NE;;invert
Radix labiata;Species;LC;;invert
Dicentrarchus labrax;Species;NA;;fish
Halecium labrosum;Species;NE;;invert
Chelon labrosus;Species;LC;;fish
Opercularella lacerata;Species;LC;;invert
Sagartiogeton laceratus;Species;NE;;invert
Caenis lactea;Species;LC;;invert
Eteone lactea;Species;LC;;invert
Dendrocoelum lacteum;Species;LC;;invert
Ocnus lacteus;Species;LC;;invert
Polygordius lacteus;Species;LC;;invert
Ulva lactuca;Species;LC;;macrophytes
Apocorophium lacustre;Species;LC;;invert
Musculium lacustre;Species;NE;;invert
Acroloxus lacustris;Species;LC;;invert
Gammarus lacustris;Species;NE;;invert
Gerris lacustris;Species;NE;;invert
Oecetis lacustris;Species;LC;;invert
Paramysis lacustris;Species;NA;;invert
Spongilla lacustris;Species;LC;;invert
Stylaria lacustris;Species;LC;;invert
Pleurocladia lacustris;Species;LC;;macrophytes
Schoenoplectus lacustris;Species;LC;;macrophytes
Criodrilus lacuum;Species;NA;;invert
Cladophora laetevirens;Species;NE;;macrophytes
Leptophytum laeve;Species;NE;;macrophytes
Phymatolithon laevigatum;Species;LC;;macrophytes
Anabolia laevis;Species;NE;;invert
Anapagurus laevis;Species;LC;;invert
Cadlina laevis;Species;LC;;invert
Diastylis laevis;Species;LC;;invert
Harpinia laevis;Species;NE;;invert
Porella laevis;Species;NE;;invert
Calliopius laeviusculus;Species;LC;;invert
Oerstedia laminariae;Species;LC;;invert
Litosiphon laminariae;Species;LC;;macrophytes
Phyllodoce laminosa;Species;NE;;invert
Hemimysis lamornae;Species;LC;;invert
Lumpenus lampretaeformis;Species;LC;;fish
Branchiostoma lanceolatum;Species;LC;;invert
Hyperoplus lanceolatus;Species;LC;;fish
Chaetogaster langi;Species;NE;;invert
Discocelides langi;Species;LC;;invert
Mesogloia lanosa;Species;NE;;macrophytes
Vertebrata lanosa;Species;NA;;macrophytes
Glycera lapidum;Species;NE;;invert
Escharella laqueata;Species;LC;;invert
Ectopleura larynx;Species;NE;;invert
Trigloporus lastoviza;Species;NA;;fish
Cladopelma lateralis;Species;NE;;invert
Notomastus latericeus;Species;LC;;invert
Arnoglossus laterna;Species;LC;;fish
Typha latifolia;Species;LC;;macrophytes
Saccharina latissima;Species;LC;;macrophytes
Paratanytarsus lauterborni;Species;NE;;invert
Planctonema lauterbornii;Species;LC;;macrophytes
Plea leachi;Species;LC;;invert
Bithynia leachii;Species;LC;;invert
Botrylloides leachii;Species;LC;;invert
Cladophora lehmanniana;Species;NA;;macrophytes
Plagiostomum lemani;Species;NE;;invert
Pacifastacus leniusculus;Species;NA;;invert
Phymatolithon lenormandii;Species;LC;;macrophytes
Ulvella lens;Species;NE;;macrophytes
Acrochaete leptochaete;Species;NE;;macrophytes
Acrochaetium leptonema;Species;NE;;macrophytes
Leuciscus leuciscus;Species;LC;;fish
Protohydra leuckarti;Species;LC;;invert
Mytilopsis leucophaeata;Species;NA;;invert
Branta leucopsis;Breeding;LC;;breeding birds
Branta leucopsis;Wintering;LC;;wintering birds
Porphyra leucosticta;Species;NE;;macrophytes
Anisus leucostoma;Species;LC;;invert
Raphitoma leufroyi;Species;LC;;invert
Amphichaeta leydigi;Species;NE;;invert
Hornera lichenoides;Species;NE;;invert
Boccardiella ligerica;Species;NA;;invert
Limnoria lignorum;Species;DD;;invert
Halarachnion ligulatum;Species;LC;;macrophytes
Chaetomorpha ligustica;Species;NE;;macrophytes
Tubulipora liliacea;Species;LC;;invert
Leucothoe lilljeborgi;Species;NE;;invert
Tanaissus lilljeborgi;Species;LC;;invert
Pisidium lilljeborgii;Species;NE;;invert
Spirontocaris lilljeborgii;Species;LC;;invert
Ophelia limacina;Species;LC;;invert
Limanda limanda;Species;LC;;fish
Chalinula limbata;Species;LC;;invert
Psectrocladius limbatellus;Species;LC;;invert
Polydora limicola;Species;NE;;invert
Sthenelais limicola;Species;NE;;invert
Pneophyllum limitatum;Species;LC;;macrophytes
Chaetogaster limnaei;Species;LC;;invert
Aulodrilus limnobius;Species;NE;;invert
Limosa limosa;Breeding;NT;A2ac;breeding birds
Rhynchelmis limosella;Species;NE;;invert
Orconectes limosus;Species;NA;;invert
Macropodia linaresi;Species;LC;;invert
Microstomum lineare;Species;NE;;invert
Caprella linearis;Species;LC;;invert
Cephalothrix linearis;Species;LC;;invert
Ranatra linearis;Species;LC;;invert
Raphitoma linearis;Species;NE;;invert
Schizomavella linearis;Species;LC;;invert
Crystallogobius linearis;Species;LC;;fish
Porphyra linearis;Species;LC;;macrophytes
Callopora lineata;Species;LC;;invert
Coryphella lineata;Species;LC;;invert
Dina lineata;Species;NE;;invert
Phyllodoce lineata;Species;NE;;invert
Lumbricillus lineatus;Species;LC;;invert
Hesperocorixa linnaei;Species;LC;;invert
Aegagropila linnaei;Species;LC;;macrophytes
Chaetomorpha linum;Species;LC;;macrophytes
Ulva linza;Species;LC;;macrophytes
Liparis liparis;Species;LC;;fish
Microphthalmus listensis;Species;NE;;invert
Diplosoma listerianum;Species;NE;;invert
Pycnogonum litorale;Species;NE;;invert
Paranais litoralis;Species;LC;;invert
Vaucheria litorea;Species;NE;;macrophytes
Procerodes littoralis;Species;LC;;invert
Pylaiella littoralis;Species;LC;;macrophytes
Littorina littorea;Species;LC;;invert
Malmgreniella ljungmani;Species;NE;;invert
Cerianthus lloydii;Species;LC;;invert
Amphilectus lobatus;Species;NE;;invert
Tubulipora lobifera;Species;LC;;invert
Dicrotendipes lobiger;Species;LC;;invert
Gammarus locusta;Species;LC;;invert
Scytosiphon lomentaria;Species;LC;;macrophytes
Arcteonais lomondi;Species;LC;;invert
Eteone longa;Species;LC;;invert
Photis longicaudata;Species;LC;;invert
Aeginina longicornis;Species;LC;;invert
Astacilla longicornis;Species;NE;;invert
Edwardsia longicornis;Species;LC;;invert
Monoculopsis longicornis;Species;LC;;invert
Mystacides longicornis;Species;LC;;invert
Pisidia longicornis;Species;LC;;invert
Ophryotrocha longidentata;Species;NE;;invert
Leptostylis longimana;Species;NE;;invert
Bathymedon longimanus;Species;LC;;invert
Perioculodes longimanus;Species;LC;;invert
Potthastia longimanus;Species;LC;;invert
Autonoe longipes;Species;LC;;invert
Phyllodoce longipes;Species;NE;;invert
Tryphosites longipes;Species;LC;;invert
Palaemon longirostris;Species;NA;;invert
Pristina longiseta;Species;NE;;invert
Harmothoe longisetis;Species;NE;;invert
Eunereis longissima;Species;NE;;invert
Obelia longissima;Species;LC;;invert
Praxillura longissima;Species;NE;;invert
Lineus longissimus;Species;NE;;invert
Ablabesmyia longistyla;Species;LC;;invert
Cossura longocirrata;Species;NE;;invert
Syllides longocirratus;Species;NE;;invert
Nephtys longosetosa;Species;LC;;invert
Eucratea loricata;Species;LC;;invert
Pista lornensis;Species;NE;;invert
Limaria loscombii;Species;LC;;invert
Lota lota;Species;NT;A2b;fish
Armina loveni;Species;LC;;invert
Ceratocephale loveni;Species;LC;;invert
Gonothyraea loveni;Species;LC;;invert
Lysilla loveni;Species;LC;;invert
Maera loveni;Species;NE;;invert
Rhodine loveni;Species;LC;;invert
Myriocladia lovenii;Species;DD;;macrophytes
Melanella lubrica;Species;LC;;invert
Acricotopus lucens;Species;LC;;invert
Potamogeton lucens;Species;LC;;macrophytes
Chelidonichthys lucerna;Species;NA;;fish
Yoldiella lucida;Species;LC;;invert
Ralfsia lucida;Species;NE;;macrophytes
Diastylis lucifera;Species;NE;;invert
Sander lucioperca;Species;LC;;fish
Esox lucius;Species;LC;;fish
Dugesia lugubris;Species;LC;;invert
Nicomache lumbricalis;Species;LC;;invert
Furcellaria lumbricalis;Species;LC;;macrophytes
Halothrix lumbricalis;Species;NE;;macrophytes
Nerophis lumbriciformis;Species;LC;;fish
Cyclopterus lumpus;Species;NT;A2b;fish
Limnephilus lunatus;Species;LC;;invert
Malmgreniella lunulata;Species;NE;;invert
Coenagrion lunulatum;Species;LC;;invert
Dosinia lupinus;Species;LC;;invert
Anarhichas lupus;Species;EN;A2d;fish
Limnephilus luridus;Species;LC;;invert
Trisopterus luscus;Species;NA;;fish
Sialis lutaria;Species;LC;;invert
Nereiphylla lutea;Species;NE;;invert
Nuphar lutea;Species;LC;;macrophytes
Centroptilum luteolum;Species;LC;;invert
Buglossidium luteum;Species;LC;;fish
Potamanthus luteus;Species;NE;;invert
Lutra lutra;Species;NT;D1;mammals
Paradoneis lyra;Species;LC;;invert
Callionymus lyra;Species;LC;;fish
Brissopsis lyrifera;Species;LC;;invert
Calocaris macandreae;Species;LC;;invert
Melphidippella macra;Species;NE;;invert
Ampelisca macrocephala;Species;LC;;invert
Vejdovskyella macrochaeta;Species;LC;;invert
Liljeborgia macronyx;Species;NE;;invert
Valvata macrostoma;Species;LC;;invert
Caenis macrura;Species;NE;;invert
Acrochaetium macula;Species;NE;;macrophytes
Gammaropsis maculata;Species;NE;;invert
Goniada maculata;Species;LC;;invert
Phyllodoce maculata;Species;LC;;invert
Stylochoplana maculata;Species;NE;;invert
Synchelidium maculatum;Species;NE;;invert
Microprotopus maculatus;Species;LC;;invert
Platambus maculatus;Species;LC;;invert
Callionymus maculatus;Species;LC;;fish
Petroderma maculiforme;Species;LC;;macrophytes
Janira maculosa;Species;NE;;invert
Carcinus maenas;Species;LC;;invert
Baltoplana magna;Species;NE;;invert
Lumbrineris magnidentata;Species;NE;;invert
Myrionema magnusii;Species;LC;;macrophytes
Lithodes maja;Species;LC;;invert
Prionospio malmgreni;Species;NE;;invert
Fenestrulina malusii;Species;LC;;invert
Alcyonidium mamillatum;Species;LC;;invert
Cladotanytarsus mancus;Species;LC;;invert
Tanytarsus mancus;Species;LC;;invert
Molgula manhattensis;Species;NE;;invert
Amphilochus manudens;Species;NE;;invert
Piscicola margaritae;Species;NE;;invert
Dytiscus marginalis;Species;LC;;invert
Hemiclepsis marginata;Species;LC;;invert
Blidingia marginata;Species;LC;;macrophytes
Aythya marila;Breeding;VU;A2bcd;breeding birds
Aythya marila;Wintering;LC;;wintering birds
Arenicola marina;Species;LC;;invert
Phtisica marina;Species;LC;;invert
Derbesia marina;Species;LC;;macrophytes
Leathesia marina;Species;LC;;macrophytes
Najas marina;Species;LC;;macrophytes
Zostera marina;Species;LC;;macrophytes
Clunio marinus;Species;NE;;invert
Echinogammarus marinus;Species;NE;;invert
Larus marinus;Breeding;LC;;breeding birds
Petromyzon marinus;Species;VU;C2a(i);fish
Ammodytes marinus;Species;LC;;fish
Larus marinus;Wintering;LC;;wintering birds
Aphelochaeta marioni;Species;NE;;invert
Ruppia maritima;Species;LC;;macrophytes
Calidris maritima;Wintering;LC;;wintering birds
Bolboschoenus maritimus;Species;LC;;macrophytes
Torpedo marmorata;Species;NA;;fish
Limnephilus marmoratus;Species;LC;;invert
Proterorhinus marmoratus;Species;NA;;fish
Tonicella marmorea;Species;LC;;invert
Dentex maroccanus;Species;NA;;fish
Spio martinensis;Species;LC;;invert
Sigalion mathildae;Species;LC;;invert
Glyceria maxima;Species;LC;;macrophytes
Pecten maximus;Species;LC;;invert
Cetorhinus maximus;Species;NA;;fish
Scophthalmus maximus;Species;NT;A2bd;fish
Malmgreniella mcintoshi;Species;LC;;invert
Tharyx mcintoshi;Species;NE;;invert
Microspio mecznikowianus;Species;NE;;invert
Leptomysis mediterranea;Species;LC;;invert
Tanytarsus medius;Species;NE;;invert
Polycirrus medusa;Species;LC;;invert
Vaucheria medusa;Species;NE;;macrophytes
Schedophilus medusophagus;Species;NA;;fish
Ischyrocerus megacheir;Species;LC;;invert
Chaetomorpha melagonium;Species;LC;;macrophytes
Enochrus melanicephalus;Species;LC;;invert
Larus melanocephalus;Breeding;EN;D1;breeding birds
Eurystheus melanops;Species;LC;;invert
Gammaropsis melanops;Species;LC;;invert
Neogobius melanostomus;Species;NA;;fish
Galeus melastomus;Species;NA;;fish
Symphodus melops;Species;LC;;fish
Membranipora membranacea;Species;LC;;invert
Rissoa membranacea;Species;LC;;invert
Melobesia membranacea;Species;LC;;macrophytes
Colaconema membranaceum;Species;LC;;macrophytes
Tanytarsus mendax;Species;LC;;invert
Ascidia mentula;Species;LC;;invert
Mergus merganser;Breeding;LC;;breeding birds
Mergus merganser;Wintering;LC;;wintering birds
Merlangius merlangus;Species;VU;A2bd;fish
Merluccius merluccius;Species;NT;B1a+2a;fish
Tilopteris mertensii;Species;LC;;macrophytes
Somatochlora metallica;Species;LC;;invert
Isochaetides michaelseni;Species;NE;;invert
Somniosus microcephalus;Species;NA;;fish
Dangemannia microcystris;Species;LC;;macrophytes
Botrytella micromora;Species;LC;;macrophytes
Pomatoschistus microps;Species;LC;;fish
Acrochaetium microscopicum;Species;NE;;macrophytes
Temachia microstoma;Species;NE;;invert
Amphicteis midas;Species;NE;;invert
Clelandella miliaris;Species;VU;B1ab(i,iii);invert
Kelliella miliaris;Species;LC;;invert
Psammechinus miliaris;Species;LC;;invert
Pisidium milium;Species;LC;;invert
Porphyra miniata;Species;LC;;macrophytes
Capitomastus minima;Species;LC;;invert
Blidingia minima;Species;LC;;macrophytes
Parvicardium minimum;Species;LC;;invert
Acrochaetium minimum;Species;NE;;macrophytes
Limnophyes minimus;Species;NE;;invert
Aclis minor;Species;LC;;invert
Stempellinella minor;Species;LC;;invert
Trichostegia minor;Species;LC;;invert
Anarhichas minor;Species;NA;;fish
Lemna minor;Species;LC;;macrophytes
Aricidea minuta;Species;LC;;invert
Diaphana minuta;Species;LC;;invert
Magelona minuta;Species;NE;;invert
Munna minuta;Species;LC;;invert
Nuculana minuta;Species;LC;;invert
Pholoe minuta;Species;NE;;invert
Sphaerodoropsis minuta;Species;LC;;invert
Aphia minuta;Species;LC;;fish
Micronecta minutissima;Species;NE;;invert
Plea minutissima;Species;LC;;invert
Gyrinus minutus;Species;LC;;invert
Larus minutus;Breeding;LC;;breeding birds
Trisopterus minutus;Species;LC;;fish
Pomatoschistus minutus;Species;LC;;fish
Hydrocoloeus minutus;Wintering;NT;D2;wintering birds
Beania mirabilis;Species;NE;;invert
Magelona mirabilis;Species;NE;;invert
Virgularia mirabilis;Species;NA;;invert
Harveyella mirabilis;Species;LC;;macrophytes
Aeshna mixta;Species;LC;;invert
Mysis mixta;Species;LC;;invert
Labrus mixtus;Species;LC;;fish
Alderia modesta;Species;NT;B2a;invert
Ophelina modesta;Species;LC;;invert
Modiolus modiolus;Species;VU;A2c;invert
Pisidium moitessierianum;Species;NE;;invert
Mola mola;Species;NA;;fish
Potamothrix moldaviensis;Species;NA;;invert
Hypophthalmichthys molitrix;Species;NA;;fish
Somateria mollissima;Breeding;VU;A2abe;breeding birds
Somateria mollissima;Wintering;EN;A2b;wintering birds
Molva molva;Species;EN;A2d;fish
Dyopedos monacantha;Species;LC;;invert
Acrochaetium moniliforme;Species;NE;;macrophytes
Ablabesmyia monilis;Species;LC;;invert
Stenothoe monoculoides;Species;NE;;invert
Aktedrilus monospermathecus;Species;NE;;invert
Erpobdella monostriata;Species;NE;;invert
Stromatella monostromatica;Species;NE;;macrophytes
Neohela monstrosa;Species;NE;;invert
Chimaera monstrosa;Species;NA;;fish
Cryptochironomus monstrosus;Species;NE;;invert
Astarte montagui;Species;LC;;invert
Euspira montagui;Species;LC;;invert
Pandalus montagui;Species;LC;;invert
Liparis montagui;Species;LC;;fish
Raja montagui;Species;NA;;fish
Batracobdelloides moogi;Species;NE;;invert
Gadus morhua;Species;VU;A2b,c + A4b,c;fish
Gadus morhua;Kattegat subpopulation;CR;;fish
Gadus morhua;Western Baltic subpopulation;NT;;fish
Gadus morhua;Eastern Baltic subpopulation;VU;;fish
Cristatella mucedo;Species;LC;;invert
Phyllodoce mucosa;Species;LC;;invert
Ephemerella mucronata;Species;NE;;invert
Zalutschia mucronata;Species;LC;;invert
Nitella mucronata;Species;NE;;macrophytes
Ephydatia muelleri;Species;LC;;invert
Phoronis muelleri;Species;LC;;invert
Tanganella muelleri;Species;NA;;invert
Maurolicus muelleri;Species;NA;;fish
Minuspio multibranchiata;Species;NE;;invert
Tharyx multibranchiis;Species;LC;;invert
Clava multicornis;Species;NE;;invert
Cutleria multifida;Species;LC;;macrophytes
Agraylea multipunctata;Species;LC;;invert
Trochochaeta multisetosa;Species;LC;;invert
Corophium multisetosum;Species;NT;B2b;invert
Peloscolex multisetosus;Species;LC;;invert
Onchidoris muricata;Species;LC;;invert
Pontobdella muricata;Species;NA;;invert
Triglops murrayi;Species;NA;;fish
Bougainvillia muscus;Species;NE;;invert
Ciliata mustela;Species;LC;;fish
Mustelus mustelus;Species;NA;;fish
Eurycope mutica;Species;LC;;invert
Macroplea mutica;Species;LC;;invert
Sargassum muticum;Species;NA;;macrophytes
Oncorhynchus mykiss;Species;NA;;fish
Myosotella myosotis;Species;DD;;invert
Leucoraja naevus;Species;NA;;fish
Erythromma najas;Species;LC;;invert
Salvelinus namaycush;Species;NA;;fish
Orchomenella nana;Species;LC;;invert
Sphacelaria nana;Species;NE;;macrophytes
Lamna nasus;Species;CR;A2bd;fish
Hardametopa nasuta;Species;LC;;invert
Nesiarchus nasutus;Species;NA;;fish
Potamogeton natans;Species;LC;;macrophytes
Sparganium natans;Species;LC;;macrophytes
Gyrinus natator;Species;LC;;invert
Borysthenia naticina;Species;NA;;invert
Lithoglyphus naticoides;Species;NA;;invert
Paratanytarsus natvigi;Species;LC;;invert
Teredo navalis;Species;NA;;invert
Liocarcinus navigator;Species;LC;;invert
Pachycordyle navis;Species;NE;;invert
Schmitzia neapolitana;Species;LC;;macrophytes
Bela nebula;Species;LC;;invert
Eupolymnia nebulosa;Species;LC;;invert
Macropelopia nebulosa;Species;NE;;invert
Ameiurus nebulosus;Species;NA;;fish
Marenzelleria neglecta;Species;NA;;invert
Potamilla neglecta;Species;LC;;invert
Urospora neglecta;Species;NE;;macrophytes
Praunus neglectus;Species;LC;;invert
Acrochaetium nemalii;Species;NE;;macrophytes
Colaconema nemalionis;Species;NE;;macrophytes
Chironomus neocorax;Species;LC;;invert
Tubifex nerthus;Species;NA;;invert
Clinotanypus nervosus;Species;LC;;invert
Dicrotendipes nervosus;Species;LC;;invert
Eupolymnia nesidensis;Species;LC;;invert
Tubifex newaensis;Species;NE;;invert
Dipturus nidarosiensis;Species;NA;;fish
Tolypella nidifica;Species;LC;;macrophytes
Musculus niger;Species;LC;;invert
Mystacides niger;Species;NE;;invert
Nigrobaetis niger;Species;LC;;invert
Gobius niger;Species;LC;;fish
Centrolophus niger;Species;NA;;fish
Ophiocomina nigra;Species;LC;;invert
Polycelis nigra;Species;LC;;invert
Polysiphonia nigra;Species;NE;;macrophytes
Melanitta nigra;Wintering;EN;A2b;wintering birds
Erpobdella nigricollis;Species;LC;;invert
Hydroporus nigrita;Species;LC;;invert
Paracladopelma nigritula;Species;LC;;invert
Paralauterborniella nigrohalterale;Species;LC;;invert
Ceraclea nigronervosa;Species;LC;;invert
Grammotaulius nigropunctatus;Species;LC;;invert
Gelochelidon nilotica;Breeding;RE;;breeding birds
Athanas nitescens;Species;LC;;invert
Abra nitida;Species;LC;;invert
Buskea nitida;Species;NE;;invert
Gammaropsis nitida;Species;LC;;invert
Membraniporella nitida;Species;LC;;invert
Segmentina nitida;Species;LC;;invert
Ebala nitidissima;Species;LC;;invert
Nucula nitidosa;Species;LC;;invert
Chaetoderma nitidulum;Species;LC;;invert
Hemilepton nitidum;Species;NE;;invert
Pisidium nitidum;Species;LC;;invert
Nassarius nitidus;Species;LC;;invert
Typhlomangelia nivalis;Species;NE;;invert
Calcarius nivalis;Wintering;LC;;wintering birds
Puncturella noachina;Species;NE;;invert
Torpedo nobiliana;Species;NA;;fish
Hypophthalmichthys nobilis;Species;NA;;fish
Acidostoma nodiferum;Species;NE;;invert
Eunoe nodosa;Species;NE;;invert
Goniodoris nodosa;Species;NE;;invert
Ascophyllum nodosum;Species;LC;;macrophytes
Stilophora nodulosa;Species;LC;;macrophytes
Zostera noltii;Species;VU;B2ab (iii, iv);macrophytes
Glycinde nordmanni;Species;NE;;invert
Amphilepis norvegica;Species;NE;;invert
Goniada norvegica;Species;NE;;invert
Heteromysis norvegica;Species;LC;;invert
Hydroides norvegicus;Species;NE;;invert
Nephrops norvegicus;Species;LC;;invert
Phylo norvegicus;Species;LC;;invert
Polycirrus norvegicus;Species;LC;;invert
Pontophilus norvegicus;Species;NE;;invert
Sebastes norvegicus;Species;NA;;fish
Pomatoschistus norvegicus;Species;DD;;fish
Phrynorhombus norvegicus;Species;DD;;fish
Palio nothus;Species;NE;;invert
Nucula nucleus;Species;VU;A2c;invert
Parorthocladius nudipennis;Species;NE;;invert
Corymorpha nutans;Species;LC;;invert
Elodea nuttallii;Species;NA;;macrophytes
Elophila nymphaeata;Species;LC;;invert
Diplosolen obelia;Species;LC;;invert
Cuspidaria obesa;Species;LC;;invert
Iphimedia obesa;Species;LC;;invert
Acidostoma obesum;Species;LC;;invert
Orthocladius oblidens;Species;LC;;invert
Ascidia obliqua;Species;NE;;invert
Cryptochironomus obreptans;Species;NE;;invert
Cyanophthalma obscura;Species;LC;;invert
Agrypnia obsoleta;Species;LC;;invert
Retusa obtusa;Species;LC;;invert
Nitellopsis obtusa;Species;NT;B2a;macrophytes
Pisidium obtusale;Species;LC;;invert
Abludomelita obtusata;Species;LC;;invert
Littorina obtusata;Species;LC;;invert
Potamogeton obtusifolius;Species;LC;;macrophytes
Orthocladius obumbratus;Species;NE;;invert
Psectrocladius obvius;Species;LC;;invert
Molgula occulta;Species;LC;;invert
Eualus occultus;Species;NE;;invert
Tanytarsus occultus;Species;LC;;invert
Ligia oceanica;Species;NE;;invert
Gammarus oceanicus;Species;LC;;invert
Microcoryne ocellata;Species;LC;;macrophytes
Chilionema ocellatum;Species;NE;;macrophytes
Astronotus ocellatus;Species;NA;;fish
Oecetis ochracea;Species;LC;;invert
Eumida ockelmanni;Species;LC;;invert
Placorhynchus octaculeatus;Species;NE;;invert
Sabellides octocirrata;Species;NE;;invert
Melicertum octocostatum;Species;NE;;invert
Erpobdella octoculata;Species;LC;;invert
Leuckartiara octona;Species;NE;;invert
Rathkea octopunctata;Species;NE;;invert
Galathowenia oculata;Species;LC;;invert
Mysis oculata;Species;LC;;invert
Gerris odontogaster;Species;LC;;invert
Oenanthe oenanthe;Breeding;NT;A2abc;breeding birds
Ulophysema oeresundense;Species;LC;;invert
Panthalis oerstedi;Species;NE;;invert
Heterotanais oerstedii;Species;LC;;invert
Corallina officinalis;Species;LC;;macrophytes
Hydra oligactis;Species;LC;;invert
Prodiamesa olivacea;Species;NE;;invert
Orthocladius olivaceus;Species;LC;;invert
Cygnus olor;Breeding;LC;;breeding birds
Cygnus olor;Wintering;LC;;wintering birds
Nitella opaca;Species;NE;;macrophytes
Aequipecten opercularis;Species;LC;;invert
Acrochaete operculata;Species;NE;;macrophytes
Nerophis ophidion;Species;LC;;fish
Ophiura ophiura;Species;LC;;invert
Lomentaria orcadensis;Species;LC;;macrophytes
Schistomysis ornata;Species;LC;;invert
Chroodactylon ornatum;Species;LC;;macrophytes
Cricotopus ornatus;Species;NE;;invert
Pagastiella orophila;Species;LC;;invert
Haematopus ostralegus;Breeding;LC;;breeding birds
Othomaera othonis;Species;NE;;invert
Apherusa ovalipes;Species;LC;;invert
Timoclea ovata;Species;LC;;invert
Hincksia ovata;Species;LC;;macrophytes
Trachinotus ovatus;Species;NA;;fish
Grania ovitheca;Species;NE;;invert
Aonides oxycephala;Species;NE;;invert
Hydra oxycnida;Species;NE;;invert
Acipenser oxyrinchus;Species;RE;;fish
Gayralia oxysperma;Species;LC;;macrophytes
Gnathia oxyuraea;Species;NE;;invert
Cladophora pachyderma;Species;NE;;macrophytes
Monoculodes packardi;Species;NE;;invert
Sympecma paedisca;Species;LC;;invert
Agrypnia pagetana;Species;LC;;invert
Cancer pagurus;Species;LC;;invert
Cryptosula pallasiana;Species;LC;;invert
Coregonus pallasii;Species;NE;;fish
Glyptotendipes pallens;Species;LC;;invert
Agraylea pallicornis;Species;LC;;invert
Lunatia pallida;Species;VU;B1ab(iii);invert
Pholoe pallida;Species;NE;;invert
Phoronis pallida;Species;LC;;invert
Tanytarsus pallidicornis;Species;NE;;invert
Chironomus pallidivittatus;Species;NE;;invert
Lacuna pallidula;Species;LC;;invert
Ceramium pallidum;Species;NE;;macrophytes
Eubranchus pallidus;Species;NE;;invert
Monoculodes pallidus;Species;LC;;invert
Melita palmata;Species;LC;;invert
Palmaria palmata;Species;LC;;macrophytes
Glossiphonia paludosa;Species;NE;;invert
Stagnicola palustris;Species;LC;;invert
Callitriche palustris;Species;LC;;macrophytes
Caltha palustris;Species;LC;;macrophytes
Eleocharis palustris;Species;LC;;macrophytes
Zannichellia palustris;Species;LC;;macrophytes
Aeolidia papillosa;Species;LC;;invert
Euchone papillosa;Species;LC;;invert
Crossaster papposus;Species;LC;;invert
Lamprothamnium papulosum;Species;EN;B2ab(ii,iii,iv,v);macrophytes
Thracia papyracea;Species;LC;;invert
Sterna paradisaea;Breeding;LC;;breeding birds
Nephtys paradoxa;Species;NE;;invert
Spermatochnus paradoxus;Species;LC;;macrophytes
Corella parallelogramma;Species;LC;;invert
Parachironomus pararostratus;Species;NE;;invert
Ripistes parasita;Species;LC;;invert
Coccomyxa parasitica;Species;NE;;macrophytes
