Country (Country),Species (ASFIS species),Aquaculture area (FAO major fishing area),Environment (Environment),Unit,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Lithuania,Northern pike,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,16,10,9,21,29,16,23,23,21,18.3,106.06,20.96,23.86,36.58,46.74
Germany,"Striped bass, hybrid",Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,5,4,4,21,8,1,...,...,...,...
Germany,North African catfish,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,60,124,52,285,319,430,695,876
Poland,Northern pike,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,166 F,150 F,150 F,150 F,150 F,...
Germany,Wels(=Som) catfish,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,145,149,146,147,205,204,217,203,198,158,163
Poland,Rainbow trout,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,27 F,64 F,105 F,133 F,165 F,204 F,105 F,204 F,304 F,437 F,520 F,614 F,721 F,843 F,980 F,1134 F,1307 F,1715,1515,1570,1600,3727,3727,4000,4000,4150,4309,4200,4991,5800,7480,9044,11069,11445,11000,10709,11696,14647,17100,16984,16650,16522,14872,12940,11200,10900,11554,14263
Russian Federation,Northern pike,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,1,2,4,8,7,5,7,59,210,246,312,230,261,280,255,270,310
Russian Federation,Atlantic salmon,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,4,-,3,-,-,-,-,-,-,-
Russian Federation,Rainbow trout,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,898,237,182,203,310,282,1580,750,2050,1673,2200,3100,3800,4268,5200,6080,7653,8596,11271,14240,16500,17300,19089,21180,21874,24173,25005
Russian Federation,Chum(=Keta=Dog) salmon,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,36,40,-,-,4,...,2,1,-,-,-,-,-,-,-,-,-,-
Sweden,Rainbow trout,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,4 F,10 F,11 F,28 F,38 F,49 F,62 F,78 F,97 F,119 F,144 F,173 F,207 F,244 F,287 F,334 F,388 F,447 F,513 F,585 F,665 F,753 F,2000,2400,897,933,760,1117,1554,2732,3069,3574,3126,2970,2609,2651,2849,2900,2709,2431,2495,2194,2521,1939,3080,2795,2735,3680,2220,3238,3982,5576,7490,7448,6641,6951
Sweden,Atlantic salmon,Europe - Inland waters,Freshwater,t,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,...,...,...,...,...,...
Russian Federation,Three-spined stickleback,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,37,8,...,1,40,-,-,-,-,-
Latvia,Burbot,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.4,...,0.28
Lithuania,Peled,Europe - Inland waters,Freshwater,t,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,73,7,10,-,-,-,-,-,-,-,-,-,2,...,2,1,3,...,3,2,1,0.1,-,-,0.36,-,0.2
Totals,,,,,15096,15110,20760,18520,16580,20971,14940,17201,24574,34698,34465,33419,28548,30142,33342,35611,41162,42152,48021,45210,43954,44419,53868,57637,63677,71387,75787,69639,67675,56749,72723,79240,97484,125301,154245,118724,128673,133128,304528,337412,422456,293270,303552,245403,216759,222470,233196,210917,231275,247997,241905,245729,238848,278061,266816,259174,237371,240441,257610,252918.8,253787.83,260928.45,268123.44,283894.5,294892.86
