"","station","latitude","longitude","date","sub_samp_ref","sub_samp_id","samp_id","param_ocdx","basis_determination","CDD1N_pg/g","CDD4X_pg/g","CDD6P_pg/g","CDD6X_pg/g","CDD9X_pg/g","CDDO_pg/g","CDF2N_pg/g","CDF2T_pg/g","CDF4X_pg/g","CDF6P_pg/g","CDF6X_pg/g","CDF9P_pg/g","CDF9X_pg/g","CDFDN_pg/g","CDFO_pg/g","TCDD_pg/g","param_bbio","AGMEA_y","DRYWT%_%","EXLIP%_%","LNMEA_cm","WTMEA_g"
"196","Utlaengan",55.9491,15.781,"2001-09-10",3666641,594005942,1839764,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.9,NA,NA
"197","Utlaengan",55.9491,15.781,"2001-09-10",3666642,594305945,1839764,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.5,NA,NA
"198","Utlaengan",55.9491,15.781,"2001-09-10",3666643,594605948,1839764,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.6,NA,NA
"199","Utlaengan",55.9491,15.781,"2001-09-10",3666644,594905951,1839764,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.6,NA,NA
"200","Utlaengan",55.9491,15.781,"2001-09-10",3666645,595205954,1839764,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2,NA,NA
"201","Utlaengan",55.9491,15.781,"2001-09-10",3666646,595505957,1839764,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2.2,NA,NA
"202","Utlaengan",55.9491,15.781,"2001-09-10",3666647,595805960,1839764,"OC-DX","wet weight",NA,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"B-BIO",NA,NA,2,NA,NA
"203","Utlaengan",55.9491,15.781,"2009-05-11",3685646,14600157,1841563,"OC-DX","wet weight",0.1096,0.02329,0.05754,0.0822,0.0137,0.2192,0.6165,0.4932,0.06987,0.07672,0.05754,0.00137,0.04247,0.1918,0.13015,0.04932,"B-BIO",4,19.6,1.37,18.4,40.5
"204","Utlaengan",55.9491,15.781,"2009-05-11",3685647,15800169,1841563,"OC-DX","wet weight",0.13965,0.03234,0.04998,0.06027,0.011025,0.1617,0.8232,0.6321,0.12789,0.07203,0.04998,0.00147,0.04557,0.2499,0.08232,0.06321,"B-BIO",4,19.4,1.47,18.5,40
"205","Utlaengan",55.9491,15.781,"2009-10-27",3685660,861308624,1841564,"OC-DX","wet weight",0.0585,0.0195,0.0247,0.0325,0.00975,0.0481,0.403,0.325,0.0481,0.0403,0.0221,0.0013,0.0325,0.0975,0.0377,0.0221,"B-BIO",4,NA,1.3,18.2,35.1
"206","Utlaengan",55.9491,15.781,"2009-10-27",3685661,862508636,1841564,"OC-DX","wet weight",0.0798,0.01386,0.02037,0.0462,0.01218,0.042,0.546,0.609,0.042,0.0336,0.0294,0.0021,0.0357,0.1428,0.0504,0.0315,"B-BIO",4,NA,2.1,17.9,34.4
"207","Utlaengan",55.9491,15.781,"2010-01-11",3686983,1235412365,1841618,"OC-DX","wet weight",0.143,0.0396,0.055,0.0968,0.022,0.1122,0.902,0.836,0.0748,0.055,0.0902,0.044,0.033,0.242,0.11,0.0572,"B-BIO",4,NA,2.2,18.6,38.7
"208","Utlaengan",55.9491,15.781,"2010-01-11",3686984,1236612377,1841618,"OC-DX","wet weight",0.1425,0.0361,0.0551,0.0893,0.019,0.1425,0.76,0.76,0.076,0.0551,0.076,0.038,0.0285,0.209,0.095,0.0608,"B-BIO",NA,NA,1.9,18.7,37.9
"209","Utlaengan",55.9491,15.781,"2010-05-24",3686985,86100872,1841619,"OC-DX","wet weight",0.144,0.0225,0.036,0.0747,0.036,0.09,0.675,0.414,0.0612,0.045,0.0747,0.045,0.045,0.18,0.063,0.0531,"B-BIO",4,19,0.9,18.6,40.1
"210","Utlaengan",55.9491,15.781,"2010-05-24",3686986,87300884,1841619,"OC-DX","wet weight",0.126,0.0279,0.0612,0.0666,0.036,0.153,0.747,0.522,0.0675,0.0531,0.0747,0.045,0.045,0.207,0.063,0.0459,"B-BIO",4,19.1,0.9,18.6,40.3
"211","Utlaengan",55.9491,15.781,"2011-06-06",3677676,21400225,1841243,"OC-DX","lipid weight",5.6,0.52,1.2,4.8,0.56,1.7,39,17,4.8,1.6,3.8,0.5,1.1,9.2,0.92,2,"B-BIO",4,20.6,2.49,17.8,37.9
"212","Utlaengan",55.9491,15.781,"2011-06-06",3677677,22600237,1841243,"OC-DX","lipid weight",6.1,0.85,2.4,5.2,0.56,1.3,43,15,5.6,2.4,3.4,0.5,1.2,8,1.22,1.6,"B-BIO",4,19.8,2.13,18.1,37.2
"213","Utlaengan",55.9491,15.781,"2011-10-17",3677690,714107152,1841244,"OC-DX","lipid weight",3.4,0.45,0.65,1.3,0.27,1.3,19,16,1.3,1.2,1.1,0.5,0.75,4.1,0.75,0.86,"B-BIO",5,NA,2.92,17.7,36.3
"214","Utlaengan",55.9491,15.781,"2011-10-17",3677691,715307164,1841244,"OC-DX","lipid weight",4.4,0.54,1,2.1,0.5,2.6,27,18,1.8,2.1,1.9,0.5,1,5.7,2.3,1.2,"B-BIO",5,NA,2.97,17.9,36.3
"215","Utlaengan",55.9491,15.781,"2012-06-04",3679483,16000171,1841305,"OC-DX","lipid weight",7.6,1.3,1.4,4.9,0.63,1.1,44,49,9.6,1.4,4.9,0.5,0.76,13,0.7,2.6,"B-BIO",5,20.6,3.2,13.6,43.3
"216","Utlaengan",55.9491,15.781,"2012-06-04",3679484,17200183,1841305,"OC-DX","lipid weight",7.9,1.5,0.93,4,0.66,0.91,44,42,5.7,0.99,5,0.5,0.82,14,0.83,2.9,"B-BIO",5,21.6,3.5,18.3,44.3
"217","Utlaengan",55.9491,15.781,"2012-11-26",3679497,751507526,1841306,"OC-DX","lipid weight",4,0.76,1.4,2,0.42,3.2,25,27,2.1,0.99,1.7,0.5,1.2,5.3,3.7,1.6,"B-BIO",5,NA,2.7,18.5,41.2
"218","Utlaengan",55.9491,15.781,"2012-11-26",3679498,752707538,1841306,"OC-DX","lipid weight",4.5,0.72,1.4,1.8,0.68,2.4,28,23,2.3,0.66,1.6,0.5,1.6,5.4,1.3,1.2,"B-BIO",5,NA,2.7,14.1,40.7
"219","Utlaengan",55.9491,15.781,"2013-05-27",3681278,13100142,1841366,"OC-DX","lipid weight",12,3,5,7.8,1.9,5.9,62,57,7.3,2.2,7.5,0.5,1.5,17,2.2,4.7,"B-BIO",4,20.7,2,19.4,47
"220","Utlaengan",55.9491,15.781,"2013-05-27",3681279,14300154,1841366,"OC-DX","lipid weight",11,2.5,5.7,7.9,1.9,7.1,65,57,7.8,2.7,7.1,0.5,2,18,3.8,3.9,"B-BIO",4,20.3,2,18.8,43
"221","Utlaengan",55.9491,15.781,"2013-11-11",3681292,752907540,1841367,"OC-DX","lipid weight",6.1,0.91,2.1,2.9,0.64,7.4,29,15,3.1,2.3,2,0.5,2.7,6.3,3,1.8,"B-BIO",4,NA,2.2,17.9,36.6
"222","Utlaengan",55.9491,15.781,"2013-11-11",3681293,754107552,1841367,"OC-DX","lipid weight",5.2,0.57,3,2.5,0.67,4.2,36,19,2.4,2,2.5,0.5,2.4,6.8,3.2,1.9,"B-BIO",5,NA,2.5,17.9,36.8
"223","Utlaengan",55.9491,15.781,"2014-06-02",3663975,89600907,1839634,"OC-DX","lipid weight",5.5,0.82,1.1,3.7,0.63,1.8,30,31,2.7,1.1,3,1,1.3,8.5,0.67,2.1,"B-BIO",3,NA,2.81,18.2,41.4
"224","Utlaengan",55.9491,15.781,"2014-06-02",3663976,90800919,1839634,"OC-DX","lipid weight",8.5,8.8,15,9.8,8.1,46,38,33,8.2,15,9.1,13,9.9,12,44,2.3,"B-BIO",4,NA,2.27,18,39.6
"225","Utlaengan",55.9491,15.781,"2014-11-10",3663989,781707828,1839635,"OC-DX","lipid weight",3.5,0.6,0.9,2.4,0.43,1.9,18,33,1.9,0.95,1.6,0.14,1.2,5,2,1.4,"B-BIO",3,NA,3.13,18.9,40.8
"226","Utlaengan",55.9491,15.781,"2014-11-10",3663990,782907840,1839635,"OC-DX","lipid weight",3.1,0.45,0.65,2.4,0.37,0.49,19,32,1.6,0.63,1.5,1,0.81,5,0.42,1.4,"B-BIO",3,NA,4.19,18.9,41.1
"227","Vaestra Hanoebukten",55.7507,14.2833,"2009-10-29",3686941,1098710998,1841612,"OC-DX","wet weight",0.22892,0.03298,0.05432,0.15132,0.021728,0.17072,1.3968,1.7072,0.12804,0.0582,0.12028,0.00388,0.0388,0.4268,0.12804,0.10864,"B-BIO",5,24.9,3.88,17.5,58.7
"228","Vaestra Hanoebukten",55.7507,14.2833,"2009-10-29",3686942,1099911010,1841612,"OC-DX","wet weight",0.27388,0.0334,0.07682,0.17034,0.032732,0.27388,1.4696,1.3694,0.10354,0.12692,0.1169,0.01169,0.05344,0.334,0.14696,0.08684,"B-BIO",6,22.8,3.34,20.6,56.4
"229","Vaestra Hanoebukten",55.7507,14.2833,"2010-10-04",3688018,1210512116,1841671,"OC-DX","wet weight",0.1749,0.0396,0.0594,0.1056,0.033,0.1452,0.957,1.122,0.0759,0.0495,0.0759,0.066,0.0495,0.2475,0.099,0.0759,"B-BIO",4,23.8,3.3,21.6,64.4
"230","Vaestra Hanoebukten",55.7507,14.2833,"2010-10-04",3688019,1211712128,1841671,"OC-DX","wet weight",0.1887,0.074,0.2553,0.1406,0.0518,0.703,0.888,1.073,0.1073,0.1591,0.1073,0.0518,0.0629,0.2627,0.2627,0.0888,"B-BIO",4,22.7,3.7,21.9,64.7
"231","Vaestra Hanoebukten",55.7507,14.2833,"2011-11-29",3679450,771007721,1841296,"OC-DX","lipid weight",4.9,0.6,0.59,2.7,0.66,0.82,23,29,2.3,1,2.1,0.5,0.47,6.6,0.7,1.4,"B-BIO",5,23.7,5.13,20.9,61.3
"232","Vaestra Hanoebukten",55.7507,14.2833,"2011-11-29",3679451,772207733,1841296,"OC-DX","lipid weight",4.9,0.85,1.1,3.2,0.49,0.89,32,38,2.5,1.5,2.3,0.5,0.55,8.7,0.7,2.3,"B-BIO",5,23,4.72,20.8,59.8
"233","Vaestra Hanoebukten",55.7507,14.2833,"2012-10-01",3681246,361603627,1841358,"OC-DX","lipid weight",2.5,0.67,0.73,1.3,0.27,0.33,15,28,2,0.63,1.2,0.5,0.65,4.9,0.7,1.1,"B-BIO",4,27.9,8.3,15.2,61.3
"234","Vaestra Hanoebukten",55.7507,14.2833,"2012-10-01",3681247,362803639,1841358,"OC-DX","lipid weight",3.3,0.58,0.59,1.9,0.34,0.85,21,23,2.8,0.89,2,0.5,0.7,6.5,0.7,1.4,"B-BIO",6,26.2,7.5,18.1,55.8
"235","Vaestra Hanoebukten",55.7507,14.2833,"2013-10-23",3683031,407204083,1841418,"OC-DX","lipid weight",4.4,0.9,1.4,2.7,0.61,2.4,25,31,2.5,1.4,2.8,0.5,0.8,7,1.3,1.9,"B-BIO",4,23.5,4.8,21.4,66.9
"236","Vaestra Hanoebukten",55.7507,14.2833,"2013-10-23",3683032,408404095,1841418,"OC-DX","lipid weight",3.1,0.93,0.96,2.1,0.45,1.6,16,25,1.8,0.76,1.6,0.5,0.67,4.1,0.94,1.6,"B-BIO",4,26.4,6.3,21,64.8
"237","Vaestra Hanoebukten",55.7507,14.2833,"2014-10-26",3665682,458904600,1839685,"OC-DX","lipid weight",3.5,0.49,0.8,3.1,0.5,0.58,22,30,2,0.89,1.8,1,0.72,6.5,0.47,1.6,"B-BIO",4,NA,4.96,21.2,64.9
"238","Vaestra Hanoebukten",55.7507,14.2833,"2014-10-26",3665683,460104612,1839685,"OC-DX","lipid weight",3.7,0.6,0.7,2.6,0.32,0.83,19,28,1.9,0.68,1.5,1,0.63,6.5,0.35,1.5,"B-BIO",3,NA,4.89,20.5,57.8
