c_square,year,mid_lat,mid_lon,Reported,fishing_ho,rgn_nam,rgn_key,Subbasin,HELCOM_ID,BHI_ID,Area_km2
1501:140:374:3,2013,54.775,10.425,Yes,81.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:374:3,2013,54.775,10.425,Yes,81.033333,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:374:4,2013,54.775,10.475,Yes,81.166667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:374:4,2013,54.775,10.475,Yes,81.166667,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:380:1,2013,54.825,10.025,Yes,9.916667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:380:1,2013,54.825,10.025,Yes,9.916667,Germany,DEU,Great Belt,SEA-002,4,140.98877
1501:140:380:2,2013,54.825,10.075,Yes,6.161111,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:380:4,2013,54.875,10.075,Yes,12.033333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:381:1,2013,54.825,10.125,Yes,65.472222,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:381:2,2013,54.825,10.175,Yes,209.4,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:381:3,2013,54.875,10.125,Yes,114.133333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:381:4,2013,54.875,10.175,Yes,297.266667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:382:1,2013,54.825,10.225,Yes,290.094444,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:382:2,2013,54.825,10.275,Yes,160.344444,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:382:2,2013,54.825,10.275,Yes,160.344444,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:382:3,2013,54.875,10.225,Yes,164.772222,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:382:4,2013,54.875,10.275,Yes,15.338889,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:383:1,2013,54.825,10.325,Yes,78.583333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:383:1,2013,54.825,10.325,Yes,78.583333,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:383:2,2013,54.825,10.375,Yes,34.316667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:383:2,2013,54.825,10.375,Yes,34.316667,Denmark,DNK,Kiel Bay,SEA-004,7,1208.87616
1501:140:384:2,2013,54.825,10.475,Yes,5,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:390:2,2013,54.925,10.075,Yes,73.355556,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:390:3,2013,54.975,10.025,Yes,31,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:390:4,2013,54.975,10.075,Yes,192.233333,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
1501:140:391:1,2013,54.925,10.125,Yes,212.166667,Denmark,DNK,Great Belt,SEA-002,3,10369.11323
