No;Group;Kingdom;Phylum;Class;Order;Family;Genus;Subgenus;Species;Subspecies;Valid taxon name;Kattegat;The Sound;Little Belt;Great Belt;Kiel Bay;Bay of Mecklenburg;Arkona Basin;Bornholm Basin;Eastern Gotland Basin;Western Gotland Basin;Northern Baltic Proper;Aland Sea;Archipelago Sea;Bothnian Sea;The Quark;Bothnian Bay;Gulf of Finland;Gulf of Gdansk;Gulf of Riga;Warnow Estuary;Wismar Bay;Trave Estuary;Kiel Fjord;Eckernförde Bay;Schlei Estuary;Flensburg Fjord;Vistula Lagoon;Szczecin Lagoon;Greifswald Lagoon;Rugia Lagoons;Darss-Zingst Lagoon;Curonian Lagoon
896;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Lampropidae;Lamprops;;fasciatus;;Lamprops fasciatus;;X;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
897;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Lanassa;;venusta;;Lanassa venusta;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
898;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Lanice;;conchilega;;Lanice conchilega;X;X;X;X;X;X;;;;;;;;;;;;;;;;;X;;;;;;;;;
899;Hydrozoa;Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Laomedea;;calceolifera;;Laomedea calceolifera;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
900;Hydrozoa;Animalia;Cnidaria;Hydrozoa;Leptothecata;Campanulariidae;Laomedea;;flexuosa;;Laomedea flexuosa;;X;;;;X;X;X;X;;X;;;;;;X;;X;X;X;X;X;X;;;;;X;X;;
901;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Laonice;;bahusiensis;;Laonice bahusiensis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
902;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Laonice;;cirrata;;Laonice cirrata;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
903;Polychaeta;Animalia;Annelida;Polychaeta;Sabellida;Sabellidae;Laonome;;kroeyeri;;Laonome kroeyeri;X;X;X;X;X;X;X;;;;;;;;;;;;;;;;X;X;;X;;;;;;
904;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Sigalionidae;Leanira;;hystricis;;Leanira hystricis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
905;Isopoda;Animalia;Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Lekanesphaera;;hookeri;;Lekanesphaera hookeri;X;X;X;X;;X;X;X;X;X;;;;;;;;X;;X;X;X;X;X;X;;;X;X;X;X;
906;Isopoda;Animalia;Arthropoda;Malacostraca;Isopoda;Sphaeromatidae;Lekanesphaera;;rugicauda;;Lekanesphaera rugicauda;X;X;X;X;X;X;X;X;X;;;;;;;;;X;;X;X;X;X;;X;;X;X;X;X;X;
907;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Aoridae;Lembos;;websteri;;Lembos websteri;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
908;Gastropoda;Animalia;Mollusca;Gastropoda;;Lepetidae;Lepeta;;caeca;;Lepeta caeca;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
909;Polyplacophora;Animalia;Mollusca;Polyplacophora;Chitonida;Tonicellidae;Lepidochitona;Lepidochitona;cinerea;;Lepidochitona (Lepidochitona) cinerea;X;X;X;X;X;;;;;;;;;;;;;;;;;;X;X;;X;;;;;;
910;Polychaeta;Animalia;Annelida;Polychaeta;Phyllodocida;Polynoidae;Lepidonotus;;squamatus;;Lepidonotus squamatus;X;X;X;X;X;X;X;;;;;;;;;;;;;;X;;X;X;;X;;;;;;
911;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Lepidostomatidae;Lepidostoma;;hirtum;;Lepidostoma hirtum;;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;
912;Echinodermata;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Leptasterias;Leptasterias;muelleri;;Leptasterias (Leptasterias) muelleri;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
913;Echinodermata;Animalia;Echinodermata;Asteroidea;Forcipulatida;Asteriidae;Leptasterias;;danica;;Leptasterias danica;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
914;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Leptoceridae;Leptocerus;;tineiformis;;Leptocerus tineiformis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
915;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Aoridae;Leptocheirus;;hirsutimanus;;Leptocheirus hirsutimanus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
916;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Aoridae;Leptocheirus;;pilosus;;Leptocheirus pilosus;;;;;X;X;X;X;X;;X;;X;X;;;X;X;X;X;X;X;X;;X;;;X;X;X;X;
917;Polyplacophora;Animalia;Mollusca;Polyplacophora;Lepidopleurida;Leptochitonidae;Leptochiton;;alveolus;;Leptochiton alveolus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
918;Polyplacophora;Animalia;Mollusca;Polyplacophora;Lepidopleurida;Leptochitonidae;Leptochiton;;asellus;;Leptochiton asellus;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
919;Polyplacophora;Animalia;Mollusca;Polyplacophora;Lepidopleurida;Leptochitonidae;Leptochiton;;sarsi;;Leptochiton sarsi;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
920;Tanaidacea;Animalia;Arthropoda;Malacostraca;Tanaidacea;Leptognathiidae;Leptognathia;;breviremis;;Leptognathia breviremis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
921;Mysida;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Leptomysis;;gracilis;;Leptomysis gracilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
922;Mysida;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Leptomysis;;mediterranea;;Leptomysis mediterranea;;;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;
923;Bivalvia;Animalia;Mollusca;Bivalvia;Euheterodonta incertae sedis;Leptonidae;Lepton;;squamosum;;Lepton squamosum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
924;Echinodermata;Animalia;Echinodermata;Holothuroidea;Dendrochirotida;Cucumariidae;Leptopentacta;;elongata;;Leptopentacta elongata;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
925;Plathelminthes;Animalia;Platyhelminthes;Rhabditophora;Polycladida;Leptoplanidae;Leptoplana;;tremellaris;;Leptoplana tremellaris;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
926;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Diastylidae;Leptostylis;;ampullacea;;Leptostylis ampullacea;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
927;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Diastylidae;Leptostylis;;longimana;;Leptostylis longimana;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
928;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Diastylidae;Leptostylis;;villosa;;Leptostylis villosa;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
929;Echinodermata;Animalia;Echinodermata;Holothuroidea;Apodida;Synaptidae;Leptosynapta;;decaria;;Leptosynapta decaria;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
930;Echinodermata;Animalia;Echinodermata;Holothuroidea;Apodida;Synaptidae;Leptosynapta;;inhaerens;;Leptosynapta inhaerens;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
931;Odonata;Animalia;Arthropoda;Insecta;Odonata;Lestidae;Lestes;;dryoas;;Lestes dryas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
932;Odonata;Animalia;Arthropoda;Insecta;Odonata;Lestidae;Lestes;;sponsa;;Lestes sponsa;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;X;;;;X
933;Hydrozoa;Animalia;Cnidaria;Hydrozoa;Anthoathecata;Pandeidae;Leuckartiara;;octona;;Leuckartiara octona;X;X;;;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;
934;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Leuconidae;Leucon;Leucon;fulvus;;Leucon (Leucon) fulvus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
935;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Leuconidae;Leucon;Leucon;nasica;;Leucon (Leucon) nasica;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
936;Cumacea;Animalia;Arthropoda;Malacostraca;Cumacea;Leuconidae;Leucon;Leucon;acutirostris;;Leucon acutirostris;X;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
937;Odonata;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Leucorrhinia;;pectoralis;;Leucorrhinia pectoralis;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
938;Porifera;Animalia;Porifera;Calcarea;Leucosolenida;Leucosoleniidae;Leucosolenia;;complicata;;Leucosolenia complicata;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
939;Porifera;Animalia;Porifera;Calcarea;Leucosolenida;Leucosoleniidae;Leucosolenia;;fragilis;;Leucosolenia fragilis;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
940;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Leucothoidae;Leucothoe;;incisa;;Leucothoe incisa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
941;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Leucothoidae;Leucothoe;;lilljeborgi;;Leucothoe lilljeborgi;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
942;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Leucothoidae;Leucothoe;;spinicarpa;;Leucothoe spinicarpa;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
943;Polychaeta;Animalia;Annelida;Polychaeta;Orbiniida;Paraonidae;Levinsenia;;gracilis;;Levinsenia gracilis;X;X;X;X;X;X;X;X;;;;;;;;;;;;;X;;;X;;X;;;;;;
944;Odonata;Animalia;Arthropoda;Insecta;Odonata;Libellulidae;Libellula;;quadrimaculata;;Libellula quadrimaculata;;;;;;;;;;;;;;;;;X;;;;;;;;;;;X;;;;X
945;Bryozoa;Animalia;Bryozoa;Stenolaemata;Cyclostomatida;Lichenoporidae;Lichenopora;;verrucaria;;Lichenopora verrucaria;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
946;Isopoda;Animalia;Arthropoda;Malacostraca;Isopoda;Ligiidae;Ligia;;oceanica;;Ligia oceanica;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;
947;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Liljeborgiidae ;Liljeborgia;;macronyx;;Liljeborgia macronyx;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
948;Gastropoda;Animalia;Mollusca;Gastropoda;Nudibranchia;Polyceridae;Limacia;;clavigera;;Limacia clavigera;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
949;Gastropoda;Animalia;Mollusca;Gastropoda;Sacoglossa;Limapontiidae;Limapontia;;capitata;;Limapontia capitata;;;X;;;X;X;X;X;X;X;X;X;X;X;;X;X;X;X;X;;X;;X;;;;X;X;X;
950;Gastropoda;Animalia;Mollusca;Gastropoda;Sacoglossa;Limapontiidae;Limapontia;;depressa;;Limapontia depressa;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
951;Bivalvia;Animalia;Mollusca;Bivalvia;Pteriomorpha incertae sedis;Limidae;Limaria;;loscombii;;Limaria loscombii;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
952;Bivalvia;Animalia;Mollusca;Bivalvia;Pteriomorpha incertae sedis;Limidae;Limatula;;gwyni;;Limatula gwyni;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
953;Bivalvia;Animalia;Mollusca;Bivalvia;Pteriomorpha incertae sedis;Limidae;Limatula;;subauriculata;;Limatula subauriculata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
954;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;affinis;;Limnephilus affinis;;;;;;;;;;;;X;X;X;;X;X;;X;;;;;;;;;;;;;
955;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;auricula;;Limnephilus auricula;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;
956;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;borealis;;Limnephilus borealis;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
957;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;decipiens;;Limnephilus decipiens;;;;;;;;;;;;X;X;X;;X;X;;;;;;;;;;;;;;;
958;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;extricatus;;Limnephilus extricatus;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;;
959;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;flavicornis;;Limnephilus flavicornis;;;;;;;;;;;;X;X;;;X;X;;X;;;;;;;;;X;;;;
960;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;griseus;;Limnephilus griseus;;;;;;;;;;;;X;X;X;;X;X;;;;;;;;;;;;;;;
961;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;lunatus;;Limnephilus lunatus;;;;;;;;;;;;X;X;X;;;X;;;;;;;;;;;;;;;
962;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;luridus;;Limnephilus luridus;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;
963;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;marmoratus;;Limnephilus marmoratus;;;;;;;;;;;;X;X;;;;X;;;;;;;;;;;;;;;
964;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;politus;;Limnephilus politus ;;;;;;;;;;;;X;X;X;;X;X;;;;;;;;;;;;;;;
965;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;rhombicus;;Limnephilus rhombicus;;;;;;;;;;;;X;X;X;;X;X;;;X;;;;;;;;;;;;
966;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;sparsus;;Limnephilus sparsus;;;;;;;;;;;;X;X;;;X;X;;X;;;;;;;;;;;;;
967;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;stigma;;Limnephilus stigma;;;;;;;;;;;;;X;;;X;X;;;;;;;;;;;;;;;X
968;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Limnephilidae;Limnephilus;;subcentralis;;Limnephilus subcentralis;;;;;;;;;;;;;X;X;;X;X;;;;;;;;;;;;;;;
969;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Tubificidae;Limnodrilus;;claparedeanus;;Limnodrilus claparedeanus;;;;;;;;;;;;;;;;;X;;X;;;X;;;;;;X;;;X;X
970;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Tubificidae;Limnodrilus;;hoffmeisteri;;Limnodrilus hoffmeisteri;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;;;;;;X;;;X;X
971;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Tubificidae;Limnodrilus;;profundicola;;Limnodrilus profundicola;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;;
972;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Tubificidae;Limnodrilus;;udekemianus;;Limnodrilus udekemianus;;;;;;;;;;;;;;X;;X;X;;;;;X;;;;;;X;;;X;X
973;Mysida;Animalia;Arthropoda;Malacostraca;Mysida;Mysidae;Limnomysis;;benedeni;;Limnomysis benedeni;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;X
974;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Limnophyes;;hydrophilus;;Limnophyes hydrophilus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
975;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Limnophyes;;minimus;;Limnophyes minimus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X
976;Hemiptera;Animalia;Arthropoda;Insecta;Hemiptera;Gerridae;Limnoporus;;rufoscutellatus;;Limnoporus rufoscutellatus;;;;;;;;;;;;;;;;;X;X;;;;;;;;;;;;;;X
977;Isopoda;Animalia;Arthropoda;Malacostraca;Isopoda;Limnoriidae;Limnoria;;lignorum;;Limnoria lignorum;X;;;;;X;;;;;;;;;;;;;;;;;X;;;X;;;;;;
978;Nemertea;Animalia;Nemertea;Anopla;;Lineidae;Lineus;;bilineatus;;Lineus bilineatus;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;
979;Nemertea;Animalia;Nemertea;Anopla;;Lineidae;Lineus;;longissimus;;Lineus longissimus;;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
980;Nemertea;Animalia;Nemertea;Anopla;;Lineidae;Lineus;;pseudoruber;;Lineus pseudoruber;;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
981;Nemertea;Animalia;Nemertea;Anopla;;Lineidae;Lineus;;ruber;;Lineus ruber;;X;;X;X;X;X;X;X;X;;;;;;;;X;;X;X;;X;X;;;;X;X;X;;
982;Nemertea;Animalia;Nemertea;Anopla;;Lineidae;Lineus;;viridis;;Lineus viridis;;;;;X;X;X;;;;;;;;;;;;;;X;;;;;;;;;;;
983;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Portunidae;Liocarcinus;;depurator;;Liocarcinus depurator;X;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
984;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Portunidae;Liocarcinus;;holsatus;;Liocarcinus holsatus;X;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;
985;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Portunidae;Licocarcinus;;navigator;;Liocarcinus navigator;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
986;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Portunidae;Licocarcinus;;pusillus;;Liocarcinus pusillus;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
987;Polychaeta;Animalia;Annelida;Polychaeta;Opheliida;Scalibregmidae;Lipobranchus;;jeffreysii;;Lipobranchus jeffreysii;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
988;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Lithodidae;Lithodes;;maja;;Lithodes maja;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
989;Gastropoda;Animalia;Mollusca;Gastropoda;Caenogastropoda incertae sedis;Lithoglyphidae;Lithoglyphus;;naticoides;;Lithoglyphus naticoides;;;;;;;;;;;;;;;;;;;;;;;;;;;X;X;;;;X
990;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Littorinidae;Littorina;;littorea;;Littorina littorea;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;X;;
991;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Littorinidae;Littorina;;obtusata;;Littorina obtusata;X;;X;X;X;X;X;;;;;;;;;;;;;;X;X;;;;X;;;;;;
992;Gastropoda;Animalia;Mollusca;Gastropoda;Hypsogastropoda;Littorinidae;Littorina;;saxatilis;;Littorina saxatilis;X;X;X;X;X;X;X;;;;;;;;;;;;;X;X;X;X;X;X;X;;;;X;;
993;Bryozoa;Animalia;Bryozoa;Phylactolaemata;Plumatellida;Lophopodidae;Lophopus;;crystallinus;;Lophopus crystallinus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;X;;;
994;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Epialtidae;Loxorhynchus;;crispatus;;Loxorhynchus crispatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
995;Bivalvia;Animalia;Mollusca;Bivalvia;Euheterodonta incertae sedis;Lucinidae;Lucinoma;;borealis;;Lucinoma borealis;X;;X;;X;;;;;;;;;;;;;;;;;;;;;X;;;;;;
996;Echinodermata;Animalia;Echinodermata;Asteroidea;Paxillosida;Luidiidae;Luidia;;sarsi;;Luidia sarsi;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
997;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Enchytraeidae;Lumbricillus;;arenarius;;Lumbricillus arenarius;;;;;X;X;;;;;;;;;;;;;;;;X;X;X;X;;;;;;;
998;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Enchytraeidae;Lumbricillus;;helgolandicus ;;Lumbricillus helgolandicus;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
999;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Enchytraeidae;Lumbricillus;;lineatus;;Lumbricillus lineatus;;;;;X;X;X;X;;;;;;;;;X;X;;X;X;X;X;X;X;;;X;X;X;X;
1000;Oligochaeta;Animalia;Annelida;Clitellata;Haplotaxida;Enchytraeidae;Lumbricillus;;semifuscus;;Lumbricillus semifuscus;;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;
1001;Polychaeta;Animalia;Annelida;Polychaeta;Capitellida;Maldanidae;Lumbriclymene;;cylindricaudata;;Lumbriclymene cylindricaudata;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;;
1002;Oligochaeta;Animalia;Annelida;Clitellata;Lumbriculida;Lumbriculidae;Lumbriculus;;variegatus;;Lumbriculus variegatus;;;;;;;;;;;;;X;X;;;X;;;;;;;;;;;X;;;;X
1003;Polychaeta;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Lumbrineris;;fragilis;;Lumbrineris fragilis;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1004;Polychaeta;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Lumbrineris;;gracilis;;Lumbrineris gracilis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1005;Polychaeta;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Lumbrineris;;impatiens;;Lumbrineris impatiens;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1006;Polychaeta;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Lumbrineris;;magnidentata;;Lumbrineris magnidentata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1007;Polychaeta;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Lumbrineris;;scopa;;Lumbrineris scopa;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1008;Polychaeta;Animalia;Annelida;Polychaeta;Eunicida;Lumbrineridae;Lumbrineris;;tetraura;;Lumbrineris tetraura;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1009;Gastropoda;Animalia;Mollusca;Gastropoda;Basommatophora;Lymnaeidae;Lymnaea;;stagnalis;;Lymnaea stagnalis;;;;;;;;;X;X;X;X;X;X;X;X;X;;X;X;;;;;X;;X;X;;;X;X
1010;Trichoptera;Animalia;Arthropoda;Insecta;Trichoptera;Psychomyiidae;Lype;;phaeopa;;Lype phaeopa;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
1011;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Terebellidae;Lysilla;;loveni;;Lysilla loveni;X;X;;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;
1012;Polychaeta;Animalia;Annelida;Polychaeta;Terebellida;Ampharetidae;Lysippe;;labiata;;Lysippe labiata;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1013;Bivalvia;Animalia;Mollusca;Bivalvia;Euheterodonta incertae sedis;Tellinidae;Macoma;;balthica;;Macoma balthica;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X;X
1014;Bivalvia;Animalia;Mollusca;Bivalvia;Euheterodonta incertae sedis;Tellinidae;Macoma;;calcarea;;Macoma calcarea;X;X;X;X;X;X;X;X;X;;;;;;;;;;;;X;;;X;;X;;;;;;
1015;Diptera;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Macropelopia;;nebulosa;;Macropelopia nebulosa ;;;;;;;;;;;;;;;;;X;;;;;;;;;;;;;;;
1016;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Polybiidae;Macropipus;;tuberculatus;;Macropipus tuberculatus;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1017;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Macroplea;;mutica;;Macroplea mutica;;;;X;;;X;;;;;;;;;;X;;;;;;;;;;;;;;;
1018;Coleoptera;Animalia;Arthropoda;Insecta;Coleoptera;Chrysomelidae;Macroplea;;pubipennis;;Macroplea pubipennis;;;;;;;;;;;;;X;X;X;X;X;;;;;;;;;;;;;;;
1019;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;;deflexa;;Macropodia deflexa;;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
1020;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;;linaresi;;Macropodia linaresi;X;;;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
1021;Decapoda;Animalia;Arthropoda;Malacostraca;Decapoda;Inachidae;Macropodia;;rostrata;;Macropodia rostrata;X;X;;X;X;;;;;;;;;;;;;;;;;;;X;;;;;;;;
1022;Plathelminthes;Animalia;Platyhelminthes;Rhabditophora;Macrostomida;Macrostomidae;Macrostomum;;appendiculatum;;Macrostomum appendiculatum;;;;;;;;;;;;;;;;;;;;;;;;;X;;;;;;;
1023;Bivalvia;Animalia;Mollusca;Bivalvia;Veneroida;Mactridae;Mactra;;stultorum;;Mactra stultorum;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1024;Amphipoda;Animalia;Arthropoda;Malacostraca;Amphipoda;Melitidae;Maera;;loveni;;Maera loveni;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1025;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Magelonidae;Magelona;;alleni;;Magelona alleni;X;X;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1026;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Magelonidae;Magelona;;filiformis;;Magelona filiformis;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1027;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Magelonidae;Magelona;;minuta;;Magelona minuta;X;;X;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1028;Polychaeta;Animalia;Annelida;Polychaeta;Spionida;Magelonidae;Magelona;;mirabilis;;Magelona mirabilis;X;X;;X;X;;;;;;;;;;;;;;;;;;;;;;;;;;;
